key	text	tooltip
#Loc;1;text/!@hv_TEXT_CEO_CAREER.loc		
ceo_nodes_title_hv_ceo_node_career_house_of_yuan_earth	袁氏家族的主要成员之一	true
ceo_nodes_description_hv_ceo_node_career_house_of_yuan_earth	袁氏家族拥有丰厚财力及人力。	true
ceo_nodes_title_hv_ceo_node_career_house_of_yuan_metal	袁氏家族的主要成员之一	true
ceo_nodes_description_hv_ceo_node_career_house_of_yuan_metal	袁氏家族拥有丰厚财力及人力。	true
ceo_nodes_title_hv_ceo_node_career_liu_bei_dlc05	美德典范	true
ceo_nodes_description_hv_ceo_node_career_liu_bei_dlc05	虽是布衣出身，但刘备实乃皇室后裔。	true
ceo_nodes_title_hv_ceo_node_career_cao_bao	丹阳老将	true
ceo_nodes_description_hv_ceo_node_career_cao_bao	曹豹出身丹阳，并引领乡民作战。	true
ceo_nodes_title_hv_ceo_node_career_tao_brothers_metal	陶谦之子	true
ceo_nodes_description_hv_ceo_node_career_tao_brothers_metal	尽管志向不如其父，但仍能从族人间取得援助。	true
ceo_nodes_title_hv_ceo_node_career_tao_brothers_wood	陶谦之子	true
ceo_nodes_description_hv_ceo_node_career_tao_brothers_wood	尽管志向不如其父，但仍能从族人间取得援助。	true
