key	text	tooltip
#Loc;1;text/!@hv_TEXT_BUILDING.loc		
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han	附加发展	true
building_description_texts_long_description_hv_subtown_control	长描述	true
building_short_description_texts_short_description_hv_subtown_control	短描述	true
building_culture_variants_name_hv_subtown_qiang_00	羌人散户	true
building_culture_variants_name_hv_subtown_qiang_01	羌人聚落	true
building_culture_variants_name_hv_subtown_qiang_02	羌人村庄	true
building_culture_variants_name_hv_subtown_qiang_03	羌人集镇	true
building_culture_variants_name_hv_subtown_qiang_control_01	部落控制	true
building_chains_chain_tooltip_hv_subtown_qiang	羌人部落	true
building_chains_encyclopedia_name_hv_subtown_qiang	羌人部落	true
building_chains_override_description_hv_subtown_qiang	这些部落不愿归化，但愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_qiang_01	长描述	true
building_description_texts_long_description_hv_subtown_qiang_02	长描述	true
building_description_texts_long_description_hv_subtown_qiang_03	长描述	true
building_short_description_texts_short_description_hv_subtown_qiang_01	短描述	true
building_short_description_texts_short_description_hv_subtown_qiang_02	短描述	true
building_short_description_texts_short_description_hv_subtown_qiang_03	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang	羌人部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_qiang	游牧民族	true
building_culture_variants_name_hv_subtown_wuhuan_00	乌桓散户	true
building_culture_variants_name_hv_subtown_wuhuan_01	乌桓聚落	true
building_culture_variants_name_hv_subtown_wuhuan_02	乌桓村庄	true
building_culture_variants_name_hv_subtown_wuhuan_03	乌桓集镇	true
building_culture_variants_name_hv_subtown_wuhuan_control_01	部落控制	true
building_chains_chain_tooltip_hv_subtown_wuhuan	乌桓部落	true
building_chains_encyclopedia_name_hv_subtown_wuhuan	乌桓部落	true
building_chains_override_description_hv_subtown_wuhuan	这些部落不愿归化，但愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_wuhuan_01	长描述	true
building_description_texts_long_description_hv_subtown_wuhuan_02	长描述	true
building_description_texts_long_description_hv_subtown_wuhuan_03	长描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_01	短描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_02	短描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_03	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan	乌桓部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan	游牧民族	true
building_culture_variants_name_hv_subtown_xiongnu_00	匈奴散户	true
building_culture_variants_name_hv_subtown_xiongnu_01	匈奴聚落	true
building_culture_variants_name_hv_subtown_xiongnu_02	匈奴村庄	true
building_culture_variants_name_hv_subtown_xiongnu_03	匈奴集镇	true
building_culture_variants_name_hv_subtown_xiongnu_control_01	部落控制	true
building_chains_chain_tooltip_hv_subtown_xiongnu	匈奴部落	true
building_chains_encyclopedia_name_hv_subtown_xiongnu	匈奴部落	true
building_chains_override_description_hv_subtown_xiongnu	这些部落不愿归化，但愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_xiongnu_01	长描述	true
building_description_texts_long_description_hv_subtown_xiongnu_02	长描述	true
building_description_texts_long_description_hv_subtown_xiongnu_03	长描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_01	短描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_02	短描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_03	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu	匈奴部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu	游牧民族	true
building_culture_variants_name_hv_subtown_shanyue_00	山越营地	true
building_culture_variants_name_hv_subtown_shanyue_01	山越聚落	true
building_culture_variants_name_hv_subtown_shanyue_02	山越集镇	true
building_culture_variants_name_hv_subtown_shanyue_control_01	异族控制	true
building_chains_chain_tooltip_hv_subtown_shanyue	山越部落	true
building_chains_encyclopedia_name_hv_subtown_shanyue	山越部落	true
building_chains_override_description_hv_subtown_shanyue	这些部落不愿归化，但愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_shanyue_01	山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。	true
building_description_texts_long_description_hv_subtown_shanyue_02	江南一带长久以来一直是山越之民的故乡，他们对这片土地怀有深厚的感情。如今野心勃勃的诸侯们要蚕食他们祖辈所居之地，他们必须拿起武器，以奋战保卫故土。\\n\\n山越之民比汉人更熟悉江南的丘陵地形，他们将自己的堡垒建立在群山中最险要的地方。他们可以在远离天灾人祸的地方安居乐业。	true
building_short_description_texts_short_description_hv_subtown_shanyue_01	「此为我祖辈所居之地，尔等无权强取豪夺！」	true
building_short_description_texts_short_description_hv_subtown_shanyue_02	山越之民虽然筑起了围墙，实际上却只想过太平日子。	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue	山越部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue	宗布	true
