eng,zh-cn,zh-tw,Source,Duplicated
"A javelin is made to fly free, from the grip of the warrior to the chest of the enemy in a single, fluid motion.",人们制造标枪就是为了让它自由飞翔，从勇士的手中到敌人的胸膛划出一道简洁而流畅的抛物线。,鐵鋋外型便於投擲，由士卒之手流利劃過空中直取敵人胸膛。,Vanilla,False
"A quick sting in the neck, then a light-headedness, then… nothing.",起初只感觉脖子被蛰了一下，旋即有些头重脚轻，然后……就什么都感觉不到了。,脖頸挨了一記之後，會感覺頭昏眼花，接著便不醒人事。,Vanilla,False
"A rock may seem a simple thing, but in its brutal purpose it has few equals.",石头看似朴素，但倘若用作凶器，则世间少有能与之相较之物。,石塊看似無甚出奇，論殺傷力卻是難逢敵手。,Vanilla,False
"Able to severely impair the efficiency of enemy units and generals in the battle.  They also provide use of formations to nearby friendly units. However, they are extremely fragile. Best grouped with retinues of Ranged Infantry.",可以有效削弱敌军部队或将领的作战效能，也可以为友军布阵，但自身十分脆弱，最好配合远程步兵部曲,能夠大幅降低敵軍單位和將領的作戰效率，還可讓鄰近的友軍單位編列陣形，但也極度脆弱。最適合與遠程步兵部曲一同編組。,Vanilla,False
Animal Handlers,驯兽师,馴獸師,Vanilla,False
Artillery,霹雳车,砲兵,Vanilla,False
Axe Cavalry,斧骑兵,持斧騎兵,Vanilla,False
Axe Infantry,斧步兵,持斧步兵,Vanilla,False
Bandit,山贼,盜賊,Lookup,False
Bandits,山贼,盜賊,Lookup,False
"Best used to counter missile units, but vulnerable in melee.",最善于反制远程部队，但在近战中较为脆弱,最善於反制遠程單位，但在近戰中很脆弱。,Vanilla,False
"Best used to engage enemy generals; however, weaker against units. Best grouped with retinues of Spear Infantry and Glaive Infantry.",最善对抗敌军将领，但对抗部队能力欠佳。最好配合持矛步兵或大刀步兵部曲,最善於與敵軍將領作戰，但不擅長與一般單位作戰。最適合與持槍步兵和大刀步兵部曲一同編組。,Vanilla,False
Black Mountain Bandits,黑山匪徒,黑山匪徒,Lookup,False
Blowpipes,吹箭手,吹箭兵,Vanilla,False
Bow Cavalry,弓骑兵,持弓騎兵,Vanilla,False
Bow Infantry,弓步兵,持弓步兵,Vanilla,False
Buqu,部曲,部曲,Lookup,False
Captain,伯长,校尉,Lookup,False
Chen,陈国,陳國,Lookup,False
Combined Weapons Infantry,复合武器步兵,複合武器步兵,Lookup,False
