key	text	tooltip
#Loc;1;text/db/diplomacy_strings__.loc		
diplomacy_strings_string_3k_main_cao_cao_dip_Propose_Unilateral_Threat_War_3	Things will go easily if you heed my warning.	false
diplomacy_strings_string_3k_main_lady_sun_dip_Propose_Guarantee_Their_Autonomy_2	I am not interested in your extermination.	false
diplomacy_strings_string_3k_main_m_metal_dip_Propose_They_Get_Vassalised_Neutral_4	You will be safer under our protection.	false
diplomacy_strings_string_3k_main_cao_cao_dip_Speaker_Noble_Dip_Receive_Negative_0	What poisonous lies will you spit today?	false
diplomacy_strings_string_3k_main_f_water_dip_They_Warlord_Receive_Neutral_0	Please sit, warlord.	false
diplomacy_strings_string_3k_main_m_water_nanman_dip_They_Emperor_Acknowledge_Unilateral_War_2	We shall match your power with cunning.	false
diplomacy_strings_string_3k_main_m_metal_dip_They_Emperor_Acknowledge_Unilateral_War_3	China is ill served by corrupt emperors.	false
diplomacy_strings_string_3k_main_f_earth_nanman_dip_Propose_Positive_4	We think this will meet with your approval.	false
diplomacy_strings_string_3k_dlc07_sun_quan_dip_Propose_Unilateral_Cancel_Alliance_1	To dissolve our alliance is the honest course.	false
diplomacy_strings_string_3k_main_f_metal_dip_Accept_Neutral_2	This meets our approval.	false
diplomacy_strings_string_3k_main_lady_sun_dip_Propose_Supported_Independence_2	Join with us against your oppressor.	false
diplomacy_strings_string_3k_main_m_wood_2_dip_Accept_Speaker_Gets_Vassalised_Neutral_3	Endured hardship forges strength.	false
diplomacy_strings_string_3k_main_sun_jian_dip_Speaker_Emperor_Dip_Receive_Negative_2	I have heard many traitorous things about you.	false
diplomacy_strings_string_3k_main_yan_baihu_dip_Propose_Positive_2	Can we not share this as friends?	false
diplomacy_strings_string_3k_main_guan_yu_dip_Propose_Speaker_Admits_Defeat_2	We sue for peace and offer our sword.	false
diplomacy_strings_string_3k_main_m_fire_nanman_dip_Receive_Neutral_13	You wish to speak?	false
diplomacy_strings_string_3k_dlc07_liu_zhang_dip_Speaker_Noble_Dip_Receive_Negative_2_f	I have no patience for traitors.	false
diplomacy_strings_string_3k_main_liu_bei_dip_Receive_Neutral_1	The people cry out and we must act.	false
diplomacy_strings_string_3k_dlc07_sun_quan_dip_Speaker_Noble_Dip_Receive_Neutral_2	Feel free to try and impress me.	false
diplomacy_strings_string_3k_main_m_fire_2_dip_Receive_Neutral_14	Let us discuss matters.	false
diplomacy_strings_string_3k_main_m_earth_dip_Acknowledge_Reject_Threat_0	You have been warned.	false
diplomacy_strings_string_3k_main_m_metal_dip_Propose_Positive_6	We will both benefit from this.	false
diplomacy_strings_string_3k_dlc07_liu_zhang_dip_Propose_Unilateral_Threat_War_0	This will lead to war.	false
diplomacy_strings_string_3k_main_f_water_dip_Acknowledge_Unilateral_Speaker_Gets_Manipulated_Positive_3	Your wisdom is edifying.	false
diplomacy_strings_string_3k_main_gongsun_zan_dip_Propose_Military_Access_1	Consider our proposal.	false
diplomacy_strings_string_3k_dlc06_king_meng_huo_dip_Propose_Positive_6	An offer, born from my respect.	false
diplomacy_strings_string_3k_main_m_earth_2_dip_Acknowledge_Unilateral_Cancel_Deal_Neutral_3	Acceptance should be undertaken with sincerity.	false
diplomacy_strings_string_3k_main_guan_yu_dip_Propose_Speaker_Gets_Liberated_2	We must become independent again.	false
diplomacy_strings_string_3k_main_zhang_fei_dip_Speaker_Noble_Dip_Receive_Negative_1	Speak quickly, my patience is not infinite.	false
diplomacy_strings_string_3k_main_f_wood_dip_Receive_Neutral_4	We have much to discuss.	false
diplomacy_strings_string_3k_main_he_yi_dip_Reject_Threat_1	We are not children, scared of words!	false
diplomacy_strings_string_3k_main_f_earth_dip_Reject_Neutral_1	We must say no.	false
diplomacy_strings_string_3k_main_m_metal_2_dip_Acknowledge_Unilateral_War_Rival_0	We welcome the chance to settle old debts. 	false
