key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_pooled_resource.loc		
campaign_post_battle_captive_options_description_enslavehv_campaign_group_captive_option_recruit_zhang_yan	敌军中许多士卒愿意向我方投诚，并将不从者处以极刑。这将为我军提供有生力量，但也可能动摇我方与敌方派系的关系	false
campaign_post_battle_captive_options_onscreen_name_enslavehv_campaign_group_captive_option_recruit_zhang_yan	招募	false
		false
pooled_resource_factors_display_name_positive_hv_pooled_factor_ma_teng	增加	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_ma_teng_assignments	差事	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_ma_teng_buildings	建筑	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_ma_teng_decay	衰减	false
		false
pooled_resource_factors_display_name_positive_hv_pooled_factor_zhang_yan	增加	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_zhang_yan_buildings	建筑	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_zhang_yan_decay	衰减	false
		false
pooled_resource_factors_display_name_negative_hv_pooled_factor_ma_teng	减少	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_ma_teng_assignments	差事	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_ma_teng_buildings	建筑	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_ma_teng_decay	衰减	false
		false
pooled_resource_factors_display_name_negative_hv_pooled_factor_zhang_yan	减少	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_zhang_yan_buildings	建筑	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_zhang_yan_decay	衰减	false
		false
pooled_resources_positive_factors_display_name_hv_pooled_resource_ma_teng	增加	false
pooled_resources_negative_factors_display_name_hv_pooled_resource_ma_teng	减少	false
pooled_resources_description_hv_pooled_resource_ma_teng	养育大宛马来装备骑兵部队。	false
pooled_resources_display_name_hv_pooled_resource_ma_teng	骏马	false
pooled_resources_foreign_diplomacy_view_tooltip_hv_pooled_resource_ma_teng	养育大宛马来装备骑兵部队。	false
		false
pooled_resources_positive_factors_display_name_hv_pooled_resource_zhang_yan	增加	false
pooled_resources_negative_factors_display_name_hv_pooled_resource_zhang_yan	减少	false
pooled_resources_description_hv_pooled_resource_zhang_yan	黑山贼首乘乱以其凝聚力以增其匪帮之数。	false
pooled_resources_display_name_hv_pooled_resource_zhang_yan	凝聚	false
pooled_resources_foreign_diplomacy_view_tooltip_hv_pooled_resource_zhang_yan	黑山贼首乘乱以其凝聚力以增其匪帮之数。	false
		false
ui_character_assignments_localised_title_hv_ui_info_assignment_ma_teng_sell_horses	骏马	true
ui_character_assignments_localised_description_hv_ui_info_assignment_ma_teng_sell_horses	你的随从会将你所养的马匹以高价卖出。	true
		false
pooled_resource_factors_display_name_positive_hv_pooled_factor_gongsun_zan	增加	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_gongsun_zan	减少	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_gongsun_zan_buildings	建筑	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_gongsun_zan_buildings	建筑	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_gongsun_zan_decay	衰减	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_gongsun_zan_decay	衰减	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_gongsun_zan_garrison	军队	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_gongsun_zan_garrison	军队	false
		false
pooled_resources_description_hv_pooled_resource_gongsun_zan	严政方能定乱。	false
pooled_resources_display_name_hv_pooled_resource_gongsun_zan	军政	false
pooled_resources_foreign_diplomacy_view_tooltip_hv_pooled_resource_gongsun_zan	严政方能定乱。	false
pooled_resource_factors_display_name_positive_hv_pooled_factor_gongsun_zan_defeat	失败	false
pooled_resource_factors_display_name_negative_hv_pooled_factor_gongsun_zan_defeat	失败	false
