key	text	tooltip
#Loc;1;text/!@hv_TEXT_CEO_CAREER.loc		
ceo_nodes_title_hv_ceo_node_career_house_of_yuan_earth	袁氏家族的主要成員之一	true
ceo_nodes_description_hv_ceo_node_career_house_of_yuan_earth	袁氏家族擁有豐厚財力及人力。	true
ceo_nodes_title_hv_ceo_node_career_house_of_yuan_metal	袁氏家族的主要成員之一	true
ceo_nodes_description_hv_ceo_node_career_house_of_yuan_metal	袁氏家族擁有豐厚財力及人力。	true
ceo_nodes_title_hv_ceo_node_career_liu_bei_dlc05	美德典範	true
ceo_nodes_description_hv_ceo_node_career_liu_bei_dlc05	雖是布衣出身，但劉備實乃皇室後裔。	true
ceo_nodes_title_hv_ceo_node_career_cao_bao	丹陽老將	true
ceo_nodes_description_hv_ceo_node_career_cao_bao	曹豹出身丹陽，並引領鄉民作戰。	true
ceo_nodes_title_hv_ceo_node_career_tao_brothers_metal	陶謙之子	true
ceo_nodes_description_hv_ceo_node_career_tao_brothers_metal	儘管志向不如其父，但仍能從族人間取得援助。	true
ceo_nodes_title_hv_ceo_node_career_tao_brothers_wood	陶謙之子	true
ceo_nodes_description_hv_ceo_node_career_tao_brothers_wood	儘管志向不如其父，但仍能從族人間取得援助。	true
