key	text	tooltip
#Loc;1;text/!dummy_hv_TEXT_UNIT.loc		
land_units_onscreen_name_hv_unit_protectors_of_heaven_mace	Protectors of Heaven - Tortoises	true
unit_description_short_texts_text_hv_unit_protectors_of_heaven_mace	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_protectors_of_heaven_mace	The Protectors of Heaven are soldiers personally selected by the emperor for their proven excellence and loyalty in battle. It is their loyalty and commitment to the great cause that ensures they never tire in battle, even when leading furious charges from the frontlines. 	true
land_units_onscreen_name_hv_unit_defenders_of_earth_dw_swords	Defenders of Earth - Rangers	true
unit_description_short_texts_text_hv_unit_defenders_of_earth_dw_swords	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_defenders_of_earth_dw_swords	Only the very finest warriors are chosen for the honour of serving the emperor as frontline troops. Archers of exceptional talent who also show skill with the deadly jian sword are recommended to the emperor as Defenders of Earth. \\n\\n If they pass inspection, they are rewarded with uniquely-crafted jian swords and composite bows to fight on the frontline.	true
land_units_onscreen_name_hv_unit_imperial_swordsmen	Imperial Swordsmen	true
unit_description_short_texts_text_hv_unit_imperial_swordsmen	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_imperial_swordsmen	In defence of the emperor, these soldiers will cut back any enemy and, if need be, give their very lives. In these dark days, where the Han are embattled on many fronts, the Imperial Guards act as an imposing reminder that the emperor's word is still law.	true
land_units_onscreen_name_hv_unit_imperial_spearmen	Imperial Spearmen	true
unit_description_short_texts_text_hv_unit_imperial_spearmen	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_imperial_spearmen	In defence of the emperor, these soldiers will cut back any enemy and, if need be, give their very lives. In these dark days, where the Han are embattled on many fronts, the Imperial Guards act as an imposing reminder that the emperor's word is still law.	true
land_units_onscreen_name_hv_unit_mercenary_captain	Mercenary Captain	true
unit_description_short_texts_text_hv_unit_mercenary_captain	Tier 4 - Captain	true
unit_description_historical_texts_text_hv_unit_mercenary_captain	A Leader of the mercenaries.	true
land_units_onscreen_name_hv_unit_yuan_shao_captain	Commissioned Officer of the House Yuan	true
unit_description_short_texts_text_hv_unit_yuan_shao_captain	Tier 4 - Faction Unique Captain	true
unit_description_historical_texts_text_hv_unit_yuan_shao_captain	They are backbone of the House Yuan army.	true
land_units_onscreen_name_hv_unit_han_settlement_captain	Garrison Captain	true
unit_description_short_texts_text_hv_unit_han_settlement_captain	Tier 4 - Captain	true
unit_description_historical_texts_text_hv_unit_han_settlement_captain	A commander unit that leads the garrison army.	true
land_units_onscreen_name_hv_unit_ytr_settlement_captain	Yellow Turbans Garrison Captain	true
unit_description_short_texts_text_hv_unit_ytr_settlement_captain	Tier 4 - Captain	true
unit_description_historical_texts_text_hv_unit_ytr_settlement_captain	A commander unit that leads the garrison army.	true
land_units_onscreen_name_hv_unit_beihai_assault_cavalry	Provincial Assault Cavalry	true
unit_description_short_texts_text_hv_unit_beihai_assault_cavalry	Tier 2 - Regulars	true
unit_description_historical_texts_text_hv_unit_beihai_assault_cavalry		true
land_units_onscreen_name_hv_unit_beihai_spear_cavalry	Provincial Spear Cavalry	true
unit_description_short_texts_text_hv_unit_beihai_spear_cavalry	Tier 2 - Regulars	true
unit_description_historical_texts_text_hv_unit_beihai_spear_cavalry		true
land_units_onscreen_name_hv_unit_jing_local_noble_family_cavalry	Jingchu Local Noble Mounted Warriors	true
unit_description_short_texts_text_hv_unit_jing_local_noble_family_cavalry	Tier 3 - Elites	true
unit_description_historical_texts_text_hv_unit_jing_local_noble_family_cavalry		true
land_units_onscreen_name_hv_unit_jing_local_noble_family_infantry	Jingchu Local Noble Warriors	true
unit_description_short_texts_text_hv_unit_jing_local_noble_family_infantry	Tier 3 - Elites	true
unit_description_historical_texts_text_hv_unit_jing_local_noble_family_infantry		true
land_units_onscreen_name_hv_unit_jing_local_noble_family_archers	Jingchu Local Noble Archers	true
unit_description_short_texts_text_hv_unit_jing_local_noble_family_archers	Tier 3 - Elites	true
unit_description_historical_texts_text_hv_unit_jing_local_noble_family_archers		true
land_units_onscreen_name_hv_unit_imperial_halberdier	Imperial Halberdiers	true
unit_description_short_texts_text_hv_unit_imperial_halberdier	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_imperial_halberdier	In defence of the emperor, these soldiers will cut back any enemy and, if need be, give their very lives. In these dark days, where the Han are embattled on many fronts, the Imperial Guards act as an imposing reminder that the emperor's word is still law.	true
land_units_onscreen_name_hv_unit_imperial_firelancer	Imperial Firelancers	true
unit_description_short_texts_text_hv_unit_imperial_firelancer	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_imperial_firelancer	In defence of the emperor, these soldiers will cut back any enemy and, if need be, give their very lives. In these dark days, where the Han are embattled on many fronts, the Imperial Guards act as an imposing reminder that the emperor's word is still law.	true
land_units_onscreen_name_hv_unit_imperial_lance_cavalry	Imperial Cataphracts	true
unit_description_short_texts_text_hv_unit_imperial_lance_cavalry	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_imperial_lance_cavalry	In defence of the emperor, these soldiers will cut back any enemy and, if need be, give their very lives. In these dark days, where the Han are embattled on many fronts, the Imperial Guards act as an imposing reminder that the emperor's word is still law.	true
land_units_onscreen_name_hv_unit_protectors_of_heaven_cavalry	Protectors of Heaven - Cavalry	true
unit_description_short_texts_text_hv_unit_protectors_of_heaven_cavalry	Tier 4 - Royal Guards	true
unit_description_historical_texts_text_hv_unit_protectors_of_heaven_cavalry	The Protectors of Heaven are soldiers personally selected by the emperor for their proven excellence and loyalty in battle. It is their loyalty and commitment to the great cause that ensures they never tire in battle, even when leading furious charges from the frontlines. 	true
