key	text	tooltip
#Loc;1;text/db/character_relationship_memories__.loc		
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_victory_close_own	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"We fought side by side in battle. We fought well, and won."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_positive_released_friend	{{tr:3k_main_relationship_memory_factor_friends_positive}}\\n"This one supported the release of my captive friend. For this I am grateful."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_positive_killed_rival	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"My rival was killed in battle against this one's army. This is a good thing."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_diplomacy_warmonger_positive_war	{{tr:3k_main_relationship_memory_factor_diplomacy_positive}}\\n"It is sometimes necessary to wage war. This one understands."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_positive_offended_rival	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"They upset somebody that I don't like. Excellent!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_victory_heroic_opposing	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"Our forces met in battle. Against all odds, my army was victorious!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_allied_negative_disrespect	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"We allied against an enemy in battle. They were unworthy and unreliable in the fight."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_time_spent	Time spent together	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_positive_released_family	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"I supported having their kin - my captive - released."	false
character_relationship_memories_localised_description_3k_dlc05_relationship_memory_romance	{{tr:3k_dlc05_relationship_memory_factor_romance_positive}}\\n"They have seized my heart - I will follow them to the end!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_event_negative_insulted	{{tr:3k_main_relationship_memory_factor_past_event_negative}}\\n"I saw fit to insult this fool. The unpleasant truth is too much for some to bear!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_negative_bad_omen	{{tr:3k_main_relationship_memory_factor_past_event_negative}}\\n"They came babbling of ill-omens. Now I am cursed!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_positive_duelist_spared_brother	{{tr:3k_main_relationship_memory_factor_friends_positive}}\\n"I spared their oathsworn kin in single combat. I now have their gratitude."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_diplomacy_pacifist_negative_war	{{tr:3k_main_relationship_memory_factor_diplomacy_negative}}\\n"They are leading us to war, and to our ultimate destruction!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_politics_adopted	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"I was adopted into this one's family. This is a singular honour!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_diplomacy_pacifist_positive_peace	{{tr:3k_main_relationship_memory_factor_diplomacy_positive}}\\n"They seek to maintain peace. We shall all prosper from it!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_minister_negative_demoted	{{tr:3k_main_relationship_memory_factor_politics_negative}}\\n"They stripped me of my office. I am indignant!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_positive_released_family	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"This one supported the release of my captive kin. Family first."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_dilemma_positive	{{tr:3k_main_relationship_memory_factor_past_event_positive}}\\n"I liked the choices made by this one when faced with dilemmas."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_family_positive_harmony	{{tr:3k_main_relationship_memory_factor_opinions_positive}}\\n"An agreeable person to know. I am honoured to share family ties with them!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_negative	{{tr:3k_main_relationship_memory_factor_past_event_negative}}\\n"Important events have led us to increasingly dislike one another."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_positive_duelist_killed_rival	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"This one killed my rival in single combat. The world is a better place for it."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_negative_killed_family	{{tr:3k_main_relationship_memory_factor_family_negative}}\\n"My kin was killed in battle against this one's army. So must they be avenged!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_family_positive_harmony	{{tr:3k_main_relationship_memory_factor_opinions_positive}}\\n"An agreeable person to know. I am honoured to share family ties with them!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_negative_interrupted	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"Fearing defeat in single combat, this one called upon help to interrupt."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_positive_hired_family	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"This one supported the employment of my captive kin. At least they are safe."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_event_negative_uplifted_rival	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"I supported somebody that they don't like. They do not approve."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_defeat_valiant_own	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"We fought side by side in battle. We lost, but not before causing the enemy much harm!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_diplomacy_warmonger_negative_peace	{{tr:3k_main_relationship_memory_factor_diplomacy_negative}}\\n"Where there is war, there must also be peace. This one does not understand."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_politics_divorced	{{tr:3k_main_relationship_memory_factor_family_negative}}\\n"This vile {$source$|gender=man|woman|person} divorced me!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_diplomacy_pacifist_positive_peace	{{tr:3k_main_relationship_memory_factor_diplomacy_positive}}\\n"Where there is war, there must also be peace. This one understands."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_negative_refused	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"Faced with single combat, I refused the challenge."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_diplomacy_positive_allied	{{tr:3k_main_relationship_memory_factor_diplomacy_positive}}\\n"Our factions became allied. Together we are stronger."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_negative_released_nemesis	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"This one supported the release of my captive nemesis."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_defeat_decisive_own	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"We fought side by side in battle. It did not go favourably, and we were defeated."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_positive_completed	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"This one accepted a challenge to single combat, and lived to tell the tale."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_diplomacy_negative	{{tr:3k_main_relationship_memory_factor_diplomacy_negative}}\\n"Diplomatic developments between our factions have been troubling."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_victory_decisive_opposing	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"Our forces met in battle. My army didn't have a chance, and was soundly defeated."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_victory_close_opposing	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"Our forces met in battle. We were well matched, but it was my army that won the day!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_negative_assaulted	{{tr:3k_main_relationship_memory_factor_past_event_negative}}\\n"This brute actually dared to inflict personal harm upon me! The audacity!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_defeat_close_own	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"We fought side by side in battle. It was close, but we were unable to win."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_province_negative_disharmony	{{tr:3k_main_relationship_memory_factor_opinions_negative}}\\n"A contemptible individual! I simply cannot abide time in their company."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_politics_adopted	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"I adopted this {$source$|gender=man|woman|person} into my family."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_negative_fled	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"Fearing defeat in single combat, this one turned-tail and fled."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_positive_duelist_spared_nemesis	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"This one spared my nemesis in single combat. I may yet have my opportunity!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_province_positive_harmony	{{tr:3k_main_relationship_memory_factor_opinions_positive}}\\n"A most agreeable individual! I appreciate time spent in their company."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_positive_executed_nemesis	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"They called for the execution of my nemesis."	false
character_relationship_memories_localised_description_target_character_3k_dlc05_relationship_memory_life_saved_relative	{{tr:3k_main_relationship_memory_factor_past_event_positive}}\\n"I saved one of their family from near-certain death."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_positive_executed_rival	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"I called for the execution of this one's rival."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_victory_heroic_own	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"We fought side by side in battle. Against all odds, we emerged victorious!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_victory_pyrrhic_own	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"We fought side by side in battle. We won, but lost many soldiers."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_defeat_crushing_own	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"We fought side by side in battle. Our forces were utterly devastated."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_positive_released	{{tr:3k_main_relationship_memory_factor_politics_positive}}\\n"This one was my captive. As a show of good faith, I supported having them released."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_negative_released_rival	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"I supported having their rival - my captive - released."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_family_negative_disharmony	{{tr:3k_main_relationship_memory_factor_opinions_negative}}\\n"I cannot abide this person. It is a shame that we are related."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_own_negative_disrespect	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"This one fought woefully. They are not fit for battle!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_positive_duelist_spared_family	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"This one spared my kin in single combat. For this I am thankful."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_minister_negative_demoted	{{tr:3k_main_relationship_memory_factor_politics_negative}}\\n"They proved unworthy of office and were demoted accordingly."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_negative_killed_friend	{{tr:3k_main_relationship_memory_factor_friends_negative}}\\n"My friend was killed in battle against this one's army. I will not forget!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_negative_killed_family	{{tr:3k_main_relationship_memory_factor_family_negative}}\\n"This one's kin was killed in battle against my army. How easily family bonds are cleaved!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_victory_pyrrhic_opposing	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"Our forces met in battle. My army was victorious, but was utterly devastated in the fight."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_diplomacy_negative_went_to_war	{{tr:3k_main_relationship_memory_factor_diplomacy_negative}}\\n"We went to war with one another. This may not end well."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_negative_killed_friend	{{tr:3k_main_relationship_memory_factor_friends_negative}}\\n"This one's friend was killed in battle against my army. They are indignant."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_negative_interrupted	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"I allowed my forces to interrupt a duel; my opponent was unworthy!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_negative_hired_rival	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"I supported having their rival - my captive - employed."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_positive_family_member	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"We are family. Friendship is everything, but family has no equal."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_positive_duelist_spared_family	{{tr:3k_main_relationship_memory_factor_family_positive}}\\n"I spared their kin in single combat. In so doing, I have been spared their wrath."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_positive_spared	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"Despite being bested in single combat, I was spared by this one."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_army_negative_disharmony	{{tr:3k_main_relationship_memory_factor_opinions_negative}}\\n"Whilst on military campaign together, I found our mutual differences to be aggravating!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_positive_released_friend	{{tr:3k_main_relationship_memory_factor_friends_positive}}\\n"I supported having their friend - my captive - released."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_minister_positive_appointed	{{tr:3k_main_relationship_memory_factor_politics_positive}}\\n"They granted me an office. I am honoured!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_diplomacy_pacifist_negative_war	{{tr:3k_main_relationship_memory_factor_diplomacy_negative}}\\n"It is sometimes necessary to wage war. This one does not understand."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_positive_executed_nemesis	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"I called for the execution of this one's nemesis."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_negative_uplifted_rival	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"They supported somebody that I don't like. What were they thinking?"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_negative_executed_friend	{{tr:3k_main_relationship_memory_factor_friends_negative}}\\n"I called for the execution of this one's friend. Unfortunate, but necessary."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_assignment_positive_harmony	{{tr:3k_main_relationship_memory_factor_opinions_positive}}\\n"This one was on assignment in the commandery that I was the administrator of. A most agreeable individual!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_negative_executed_family	{{tr:3k_main_relationship_memory_factor_family_negative}}\\n"They called for the execution of my kin. I will end them!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_master_negative_disharmony	{{tr:3k_main_relationship_memory_factor_opinions_negative}}\\n"I rue the day that I allowed this imbecile into my service!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_defeat_decisive_own	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"We fought side by side in battle. It did not go favourably, and we were defeated."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_negative_duelist_killed_family	{{tr:3k_main_relationship_memory_factor_family_negative}}\\n"I killed their kin in single combat. It seems that blood does run thicker than water!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_positive_duelist_spared_friend	{{tr:3k_main_relationship_memory_factor_friends_positive}}\\n"I spared their friend in single combat. I now have their respect.	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_opposing_negative_disrespect	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"I fought badly. This one thinks less of me for it."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_negative_killed_brother	{{tr:3k_main_relationship_memory_factor_friends_negative}}\\n"This one's oathsworn kin was killed in battle against my army. What vengeance awaits?"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_army_positive_harmony	{{tr:3k_main_relationship_memory_factor_opinions_positive}}\\n"Whilst on military campaign together, I found our mutual affinity to be advantageous."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_positive_released_brother	{{tr:3k_main_relationship_memory_factor_friends_positive}}\\n"This one supported the release of my captive oathsworn kin. For this I am grateful."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_diplomacy_negative	{{tr:3k_main_relationship_memory_factor_diplomacy_negative}}\\n"Diplomatic developments between our factions have been troubling."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_negative_executed_brother	{{tr:3k_main_relationship_memory_factor_friends_negative}}\\n"They called for the execution of my oathsworn kin. They will pay for this!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_minister_positive_harmony	{{tr:3k_main_relationship_memory_factor_opinions_positive}}\\n"Whilst serving together in office, I found this one to be most agreeable."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_event_negative_assaulted	{{tr:3k_main_relationship_memory_factor_past_event_negative}}\\n"I sought to inflict personal harm upon them. Sadly, I may only have hurt their feelings."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_defeat_close_own	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"We fought side by side in battle. It was close, but we were unable to win."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_defeat_valiant_own	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"We fought side by side in battle. We lost, but not before causing the enemy much harm!"	false
character_relationship_memories_localised_description_target_character_3k_dlc05_relationship_memory_romance	{{tr:3k_dlc05_relationship_memory_factor_romance_positive}}\\n"They have pledged their heart to me – how flattering!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_negative_duelist_killed_nemesis	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"This one killed my nemesis in single combat. That right should have been mine!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_event_dilemma_negative	{{tr:3k_main_relationship_memory_factor_past_event_negative}}\\n"When faced with dilemmas, I have made choices that have been ill-received by this one."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_event_positive_uplifted_friend	{{tr:3k_main_relationship_memory_factor_friends_positive}}\\n"They supported somebody dear to me. Very good!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_negative_refused	{{tr:3k_main_relationship_memory_factor_battle_negative}}\\n"This one refused a challenge to single combat, for shame."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_negative_executed_family	{{tr:3k_main_relationship_memory_factor_family_negative}}\\n"I called for the execution of this one's kin. Blood runs thickest of all."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_event_negative_betrayed	{{tr:3k_main_relationship_memory_factor_past_event_negative}}\\n"I betrayed and abandoned them. My destiny lies along a different path!"	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_opposing_positive_respect	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"I fought valiantly. This one appears to be impressed."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_victory_decisive_own	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"We fought side by side in battle. Together, we utterly devastated the enemy's forces."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_captive_positive_hired_brother	{{tr:3k_main_relationship_memory_factor_friends_positive}}\\n"I supported having their oathsworn kin - my captive - employed."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_campaign_event_negative_offended_friend	{{tr:3k_main_relationship_memory_factor_friends_negative}}\\n"I upset somebody dear to them. They didn't appreciate that."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_positive_executed_rival	{{tr:3k_main_relationship_memory_factor_rivals_positive}}\\n"They called for the execution of my rival."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_battle_duel_negative_duelist_killed_friend	{{tr:3k_main_relationship_memory_factor_friends_negative}}\\n"This one killed my friend in single combat. This cannot stand!"	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_captive_negative_hired_nemesis	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"This one supported the employment of my captive nemesis."	false
character_relationship_memories_localised_description_target_character_3k_dlc05_relationship_memory_life_saved	{{tr:3k_main_relationship_memory_factor_past_event_positive}}\\n"I put my life on the line to save theirs."	false
character_relationship_memories_localised_description_target_character_3k_main_relationship_memory_campaign_province_negative_disharmony	{{tr:3k_main_relationship_memory_factor_opinions_negative}}\\n"A contemptible individual! I simply cannot abide time in their company."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_duel_negative_duelist_spared_rival	{{tr:3k_main_relationship_memory_factor_rivals_negative}}\\n"I spared their rival in single combat. I care nothing for their quarrel."	false
character_relationship_memories_localised_description_3k_main_relationship_memory_battle_victory_decisive_own	{{tr:3k_main_relationship_memory_factor_battle_positive}}\\n"We fought side by side in battle. Together, we utterly devastated the enemy's forces."	false
