key	text	tooltip
#Loc;1;text/mtu_text/[04]__MTU_events___daughter.loc		
dilemmas_localised_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1	Like Dad, Like Daughter	false
dilemmas_localised_description_3k_mtu_global_event_daughter_zhang_trait_dilemma_1	One evening, with her father Zhang Fei away at a council meeting, Zhang Xueer decided, mostly due to boredom, to drink some of her father’s favorite wine. When Zhang Fei returned in the morning, thirsty from his travels, he found nothing but bone dry wine jugs! Gone to the very last drop! Immediately knowing the culprit, he stormed out of his room in search of his daughter.	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_zhang_trait_dilemma_1FIRST	Be Angry	false
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1FIRST	Blood boiling in anger, Zhang Fei called his daughter over and shouted at her, his booming voice like thunder. She had drank his precious wine, after all, and a lesson must be taught. However, the ever-defiant Zhang Xueer would not sit in silence - she scolded her father for drinking too much and said she didn’t care if he was upset!	false
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_zhang_trait_dilemma_1SECOND	Be Reasonable	false
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1SECOND	Despite being extremely agitated that Zhang Xueer had drank his favorite wine, Zhang Fei held back his rage. He explained that wine of such quality was hard to come by and, if she ever felt the need to try his wine again, that she better invite him to drink, too!	false
dilemmas_localised_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1	Library Destroyer	false
dilemmas_localised_description_3k_mtu_global_event_daughter_guan_trait_dilemma_1	Guan Yinping tried to swing her father's Green Dragon Crescent Blade secretly, but accidentally broke the bookshelf that her father had cherished. Guan Yu came into the room late at night to read a book and found this ridiculous situation. Guan Yu was worried about how to talk.	false
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_guan_trait_dilemma_1FIRST	Directing Guan Yinping to fix herself	false
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1FIRST	Guan Yu's face, which seems to have nothing to turn redder, burned redder. But rather than getting angry, he's not gonna know what she did wrong.\\nhe wanted Yinping to feel it for herself.  So Guan Yu instructed Guan Yinping to take care of the mess herself.	false
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_guan_trait_dilemma_1SECOND	Fixing together and telling her about the fault	false
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1SECOND	Dozens of books scattered and walked into the mess, and Guan Yu quietly pursuaded Guan Yinping, who was crying. After crying for a long time in father's arms, Guan Yu soothed his daughter and cleaned up the room little by little and started repairing the bookshelf.	false
