key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_ui_bullet.loc		
ui_unit_bullet_point_enums_onscreen_name_strength_lime	使用毒气	true
ui_unit_bullet_point_enums_tooltip_strength_lime	扩散致命剧毒。	true
ui_unit_bullet_point_enums_onscreen_name_strength_bomb	使用火器	true
ui_unit_bullet_point_enums_tooltip_strength_bomb	以如震天雷响与其火焰爆破震摄敌军。	true
ui_unit_bullet_point_enums_onscreen_name_weakness_low_range	射程较短	true
ui_unit_bullet_point_enums_tooltip_weakness_low_range	此单位射程不足。	true
ui_unit_bullet_point_enums_onscreen_name_strength_taunt	嘲讽	true
ui_unit_bullet_point_enums_tooltip_strength_taunt	此单为可对敌人进行挑衅。	true
ui_unit_bullet_point_enums_onscreen_name_weakness_rampage	狂暴	true
ui_unit_bullet_point_enums_tooltip_weakness_rampage	这些士兵只遵从自己的喜好。他们可能会在没有命令的情况下擅自冲锋，并在战场上彻底失控！	true
ui_unit_bullet_point_enums_onscreen_name_strength_shield_break	擅长破盾	true
ui_unit_bullet_point_enums_tooltip_strength_shield_break	此部队更擅长对阵持盾敌人。	true
ui_unit_bullet_point_enums_onscreen_name_strength_partisan	可移动时进行射击	true
ui_unit_bullet_point_enums_tooltip_strength_partisan	他们可以在奔跑时进行射击。	true
ui_unit_bullet_point_enums_onscreen_name_strength_armour_break	擅长破甲	true
ui_unit_bullet_point_enums_tooltip_strength_armour_break	此单位的武器可以穿透最强的护甲。	true
ui_unit_bullet_point_enums_onscreen_name_strength_heavy_bow	长弓	true
ui_unit_bullet_point_enums_tooltip_strength_heavy_bow	此弓威力非凡。射程虽短，但具穿甲威力。	true
ui_unit_bullet_point_enums_onscreen_name_strength_whistling_arrow	响箭	true
ui_unit_bullet_point_enums_tooltip_strength_whistling_arrow	击射响箭，惊吓所经路径上的敌军。	true
ui_unit_bullet_point_enums_onscreen_name_strength_kamikaze	敢死爆弹	true
ui_unit_bullet_point_enums_tooltip_strength_kamikaze	当在近战失利时，此部队将引爆自身。	true
ui_unit_bullet_point_enums_onscreen_name_strength_rosin_arrow	松脂油箭	true
ui_unit_bullet_point_enums_tooltip_strength_rosin_arrow	特殊松香油箭，使目标更易焚烧。	true
