key	text	tooltip
#Loc;1;text/!@hv_TEXT_IMMIGRANTS.loc		
incidents_localised_title_hv_event_qiang_penalty	社会动荡｜羌人	true
incidents_localised_title_hv_event_qiang_peace	降低羌人的影响力	true
incidents_localised_title_hv_event_wuhuan_penalty	社会动荡｜乌桓	true
incidents_localised_title_hv_event_wuhuan_peace	降低乌桓的影响力	true
incidents_localised_title_hv_event_xiongnu_penalty	社会动荡｜匈奴	true
incidents_localised_title_hv_event_xiongnu_peace	降低匈奴的影响力	true
incidents_localised_title_hv_event_shanyue_penalty	社会动荡｜山越	true
incidents_localised_title_hv_event_shanyue_peace	降低山越的影响力	true
incidents_localised_title_hv_event_wulingman_penalty	社会动荡｜武陵蛮	true
incidents_localised_title_hv_event_wulingman_peace	降低武陵蛮的影响力	true
incidents_localised_description_hv_event_qiang_penalty	羌人部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
incidents_localised_description_hv_event_qiang_peace	羌人影响消退。社会稳定，不安情绪平息。	true
incidents_localised_description_hv_event_wuhuan_penalty	乌桓部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
incidents_localised_description_hv_event_wuhuan_peace	乌桓影响消退。社会稳定，不安情绪平息。	true
incidents_localised_description_hv_event_xiongnu_penalty	匈奴部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
incidents_localised_description_hv_event_xiongnu_peace	匈奴影响消退。社会稳定，不安情绪平息。	true
incidents_localised_description_hv_event_shanyue_penalty	山越部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
incidents_localised_description_hv_event_shanyue_peace	山越影响消退。社会稳定，不安情绪平息。	true
incidents_localised_description_hv_event_wulingman_penalty	武陵蛮部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
incidents_localised_description_hv_event_wulingman_peace	武陵蛮影响消退。社会稳定，不安情绪平息。	true
effect_bundles_localised_title_hv_script_effect_bundle_qiang_penalty	社会动荡｜羌人	true
effect_bundles_localised_title_hv_script_effect_bundle_wuhuan_penalty	社会动荡｜乌桓	true
effect_bundles_localised_title_hv_script_effect_bundle_xiongnu_penalty	社会动荡｜匈奴	true
effect_bundles_localised_title_hv_script_effect_bundle_shanyue_penalty	社会动荡｜山越	true
effect_bundles_localised_title_hv_script_effect_bundle_wulingman_penalty	社会动荡｜武陵蛮	true
effect_bundles_localised_description_hv_script_effect_bundle_qiang_penalty	羌人部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
effect_bundles_localised_description_hv_script_effect_bundle_wuhuan_penalty	乌桓部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
effect_bundles_localised_description_hv_script_effect_bundle_xiongnu_penalty	匈奴部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
effect_bundles_localised_description_hv_script_effect_bundle_shanyue_penalty	山越部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
effect_bundles_localised_description_hv_script_effect_bundle_wulingman_penalty	武陵蛮部落失控。百姓不安，质疑您的治理。事情将好转，如您能降低异族影响。	true
