eng,zh-cn,zh-tw,Source,Duplicated
Ahuinan,阿会喃,阿會喃,Vanilla,False
Ahuinan Renegades,阿会喃乱军,阿會喃叛黨,Vanilla,False
Ahuinan Separatists,阿会喃叛党,阿會喃獨立勢力,Vanilla,False
Ahuinan Separatists Renegades,阿会喃叛党乱军,阿會喃獨立勢力叛黨,Vanilla,False
Anding Commandery,安定豪强,安定郡,Vanilla,False
Anding Commandery Renegades,安定豪强乱军,安定郡叛黨,Vanilla,False
Anding Separatist Renegades,安定叛党乱军,安定獨立勢力叛黨,Vanilla,False
Anding Separatists,安定叛党,安定獨立勢力,Vanilla,False
Anding Separatists Renegades,安定叛党乱军,安定獨立勢力叛黨,Vanilla,False
Anping,安平,安平,Vanilla,False
Anping Commandery,安平豪强,安平郡,Vanilla,False
Anping Commandery Renegades,安平豪强乱军,安平郡叛黨,Vanilla,False
Anping Commandery Separatists,安平豪强叛党,安平郡獨立勢力,Vanilla,False
Anping Commandery Separatists Renegades,安平豪强叛党乱军,安平郡獨立勢力叛黨,Vanilla,False
Anping Separatist Renegades,安平叛党乱军,安平獨立勢力叛黨,Vanilla,False
Anping Separatists,安平叛党,安平獨立勢力,Vanilla,False
Archer Captain,弓兵伯长,弓兵校尉,Vanilla,False
Archer Defectors,变节弓手,持弓叛逃兵,Vanilla,False
Archer Gang,射手队,弓兵團,Vanilla,False
Archer Militia,弓箭民兵,義勇弓兵,Vanilla,False
Archers,弓箭手,弓兵,Vanilla,False
Archers of Jing,荆州弓手,荊州弓兵,Vanilla,False
Archery Masters,神箭团,箭術高手,Vanilla,False
Arm of the Supreme Peace,太平铁臂军,太平鐵臂軍,Vanilla,False
Ascetics of the Way,天道苦行者,苦修道士,Vanilla,False
Axe Band,持斧战团,斧兵團,Vanilla,False
Axe Throwers,飞斧兵,飛斧手,Vanilla,False
Azure Dragons,青龙军,蒼龍軍,Vanilla,False
Ba,巴郡,巴,Vanilla,False
Ba Commandery,巴郡豪强,巴郡,Vanilla,False
Ba Commandery Renegades,巴郡豪强乱军,巴郡叛黨,Vanilla,False
Ba Commandery Separatists,巴郡豪强叛党,巴郡獨立勢力,Vanilla,False
Ba Commandery Separatists Renegades,巴郡豪强叛党乱军,巴郡獨立勢力叛黨,Vanilla,False
Ba Separatists,巴郡叛党,巴獨立勢力,Vanilla,False
Badong,巴东,巴東,Vanilla,False
Badong Commandery,巴东豪强,巴東郡,Vanilla,False
Badong Commandery Renegades,巴东豪强乱军,巴東郡叛黨,Vanilla,False
Badong Separatist Renegades,巴东叛党乱军,巴東獨立勢力叛黨,Vanilla,False
Badong Separatists,巴东叛党,巴東獨立勢力,Vanilla,False
Badong Separatists Renegades,巴东叛党乱军,巴東獨立勢力叛黨,Vanilla,False
Bandit Gang,山贼团,盜賊團,Vanilla,False
Bandit Hunters,山贼猎人,盜賊獵手,Vanilla,False
Bandit Marauders,山贼劫匪,盜賊掠奪者,Vanilla,False
Bandit Raiders,山贼劫掠者,盜賊劫匪,Vanilla,False
Bandit Warriors,山贼勇士,盜賊兵,Vanilla,False
Baxi Commandery,巴西豪强,巴西郡,Vanilla,False
Baxi Commandery Renegades,巴西豪强乱军,巴西郡叛黨,Vanilla,False
Baxi Separatist Renegades,巴西叛党乱军,巴西獨立勢力叛黨,Vanilla,False
Baxi Separatists,巴西叛党,巴西獨立勢力,Vanilla,False
Baxi Separatists Renegades,巴西叛党乱军,巴西獨立勢力叛黨,Vanilla,False
Beihai,北海,北海,Vanilla,False
Beihai Commandery,北海豪强,北海郡,Vanilla,False
Beihai Commandery Renegades,北海豪强乱军,北海郡叛黨,Vanilla,False
Beihai Commandery Separatists,北海豪强叛党,北海郡獨立勢力,Vanilla,False
Beihai Commandery Separatists Renegades,北海豪强叛党乱军,北海郡獨立勢力叛黨,Vanilla,False
Beihai Separatist Renegades,北海叛党乱军,北海獨立勢力叛黨,Vanilla,False
Beihai Separatists,北海叛党,北海獨立勢力,Vanilla,False
Bian Zhang,边章,邊章,Vanilla,False
Bian Zhang Renegades,边章乱军,邊章叛黨,Vanilla,False
Bian Zhang Separatist Renegades,边章叛党乱军,邊章獨立勢力叛黨,Vanilla,False
Bian Zhang Separatists,边章叛党,邊章獨立勢力,Vanilla,False
Bing,并,并,Vanilla,False
Bing Separatists,并州叛党,并獨立勢力,Vanilla,False
Black Mountain Hunters,黑山猎手,黑山獵人,Vanilla,False
Black Mountain Marauders,黑山劫匪,黑山掠奪者,Vanilla,False
