key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_building.loc		
building_ui_groups_onscreen_name_hv_ui_building_group_nanman	Nanman Infill Development 	false
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han	Infill Development 	true
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius	Confucius Institute	true
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit	Banditry	true
building_culture_variants_name_hv_subtown_qiang_00	Scattered Qiang Community	true
building_culture_variants_name_hv_subtown_qiang_01	Qiang Tribal Camp	true
building_culture_variants_name_hv_subtown_qiang_02	Qiang Tribal Herd	true
building_chains_chain_tooltip_hv_subtown_qiang	Qiang Tribe	true
building_chains_encyclopedia_name_hv_subtown_qiang	Qiang Tribe	true
building_chains_override_description_hv_subtown_qiang	These tribes are reluctant to join Han Chinese society, but they can provide military assistance.	true
building_description_texts_long_description_hv_subtown_qiang_01	qiang_01_long_description	true
building_description_texts_long_description_hv_subtown_qiang_02	qiang_02_long_description	true
building_short_description_texts_short_description_hv_subtown_qiang_01	qiang_01_short_description	true
building_short_description_texts_short_description_hv_subtown_qiang_02	qiang_02_short_description	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang	Qiang Tribe	true
building_ui_groups_onscreen_name_hv_ui_building_group_qiang	Nomad	true
building_culture_variants_name_hv_subtown_wuhuan_00	Scattered Wuhuan Community	true
building_culture_variants_name_hv_subtown_wuhuan_01	Wuhuan Tribal Camp	true
building_culture_variants_name_hv_subtown_wuhuan_02	Wuhuan Tribal Herd	true
building_chains_chain_tooltip_hv_subtown_wuhuan	Wuhuan Tribe	true
building_chains_encyclopedia_name_hv_subtown_wuhuan	Wuhuan Tribe	true
building_chains_override_description_hv_subtown_wuhuan	These tribes are reluctant to join Han Chinese society, but they can provide military assistance.	true
building_description_texts_long_description_hv_subtown_wuhuan_01	wuhuan_01_long_description	true
building_description_texts_long_description_hv_subtown_wuhuan_02	wuhuan_02_long_description	true
building_short_description_texts_short_description_hv_subtown_wuhuan_01	wuhuan_01_short_description	true
building_short_description_texts_short_description_hv_subtown_wuhuan_02	wuhuan_02_short_description	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan	Wuhuan Tribe	true
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan	Nomad	true
