key	text	tooltip
#Loc;1;text/!@hv_TEXT_CEO_ETC.loc		
effects_description_3k_main_faction_trait_liu_bei_free_militia	農民兵、民兵和流民單位的維持費 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_xian_chen_ying_damange_resistance	陷陣營的傷害抵抗力  [[b]]%+n%[[/b]]	true
effects_description_hv_effect_xian_chen_ying_charge_bonus	陷陣營的衝鋒加成 [[b]]%+n[[/b]]	true
effects_description_hv_effect_xian_chen_ying_upkeep	陷陣營的維持費 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_mercenary_pool_recruitment_cost_mod	校尉部曲的招募費用 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_mercenary_pool_upkeep_mod	校尉部曲維持費 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_jing_local_recruitment_cost_mod	荊州豪族單位的招募費用 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_jing_local_upkeep_mod	荊州豪族單位維持費 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_dan_yang_upkeep	丹陽兵單位維持費 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_dan_yang_charge_bonus	丹陽兵的衝鋒加成 [[b]]%+n[[/b]]	true
