key	text	tooltip
#Loc;1;text/!@hv_TEXT_IMMIGRANTS.loc		
incidents_localised_title_hv_event_qiang_penalty	社會動盪｜羌人	true
incidents_localised_title_hv_event_qiang_peace	降低羌人的影響力	true
incidents_localised_title_hv_event_wuhuan_penalty	社會動盪｜烏桓	true
incidents_localised_title_hv_event_wuhuan_peace	降低烏桓的影響力	true
incidents_localised_title_hv_event_xiongnu_penalty	社會動盪｜匈奴	true
incidents_localised_title_hv_event_xiongnu_peace	降低匈奴的影響力	true
incidents_localised_title_hv_event_shanyue_penalty	社會動盪｜山越	true
incidents_localised_title_hv_event_shanyue_peace	降低山越的影響力	true
incidents_localised_title_hv_event_wulingman_penalty	社會動盪｜武陵蠻	true
incidents_localised_title_hv_event_wulingman_peace	降低武陵蠻的影響力	true
incidents_localised_description_hv_event_qiang_penalty	羌人部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
incidents_localised_description_hv_event_qiang_peace	羌人影響力消退。社會穩定，不安情緒得以平息。	true
incidents_localised_description_hv_event_wuhuan_penalty	烏桓部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
incidents_localised_description_hv_event_wuhuan_peace	烏桓影響力消退。社會穩定，不安情緒得以平息。	true
incidents_localised_description_hv_event_xiongnu_penalty	匈奴部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
incidents_localised_description_hv_event_xiongnu_peace	匈奴影響力消退。社會穩定，不安情緒得以平息。	true
incidents_localised_description_hv_event_shanyue_penalty	山越部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
incidents_localised_description_hv_event_shanyue_peace	山越影響力消退。社會穩定，不安情緒得以平息。	true
incidents_localised_description_hv_event_wulingman_penalty	武陵蠻部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
incidents_localised_description_hv_event_wulingman_peace	武陵蠻影響力消退。社會穩定，不安情緒得以平息。	true
effect_bundles_localised_title_hv_script_effect_bundle_qiang_penalty	社會動盪｜羌人	true
effect_bundles_localised_title_hv_script_effect_bundle_wuhuan_penalty	社會動盪｜烏桓	true
effect_bundles_localised_title_hv_script_effect_bundle_xiongnu_penalty	社會動盪｜匈奴	true
effect_bundles_localised_title_hv_script_effect_bundle_shanyue_penalty	社會動盪｜山越	true
effect_bundles_localised_title_hv_script_effect_bundle_wulingman_penalty	社會動盪｜武陵蠻	true
effect_bundles_localised_description_hv_script_effect_bundle_qiang_penalty	羌人部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
effect_bundles_localised_description_hv_script_effect_bundle_wuhuan_penalty	烏桓部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
effect_bundles_localised_description_hv_script_effect_bundle_xiongnu_penalty	匈奴部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
effect_bundles_localised_description_hv_script_effect_bundle_shanyue_penalty	山越部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
effect_bundles_localised_description_hv_script_effect_bundle_wulingman_penalty	武陵蠻部落失去掌控。百姓感到不安進而質疑您的治理能力。事情將會好轉，如果您能降低異族的影響。	true
