key	text	tooltip
#Loc;1;text/!@hv_TEXT_BUILDING.loc		
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han	附加發展	true
building_description_texts_long_description_hv_subtown_control	長描述	true
building_short_description_texts_short_description_hv_subtown_control	短描述	true
building_culture_variants_name_hv_subtown_qiang_00	零散羌人區	true
building_culture_variants_name_hv_subtown_qiang_01	羌人部落營	true
building_culture_variants_name_hv_subtown_qiang_02	羌人部落群	true
building_culture_variants_name_hv_subtown_qiang_03	羌人部落鎮	true
building_culture_variants_name_hv_subtown_qiang_control_01	部落控制	true
building_chains_chain_tooltip_hv_subtown_qiang	羌人部落	true
building_chains_encyclopedia_name_hv_subtown_qiang	羌人部落	true
building_chains_override_description_hv_subtown_qiang	這些部落不願歸化，但願意提供軍事援助。	true
building_description_texts_long_description_hv_subtown_qiang_01	長描述	true
building_description_texts_long_description_hv_subtown_qiang_02	長描述	true
building_description_texts_long_description_hv_subtown_qiang_03	長描述	true
building_short_description_texts_short_description_hv_subtown_qiang_01	短描述	true
building_short_description_texts_short_description_hv_subtown_qiang_02	短描述	true
building_short_description_texts_short_description_hv_subtown_qiang_03	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang	羌人部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_qiang	遊牧民族	true
building_culture_variants_name_hv_subtown_wuhuan_00	零散烏桓區	true
building_culture_variants_name_hv_subtown_wuhuan_01	烏桓部落營	true
building_culture_variants_name_hv_subtown_wuhuan_02	烏桓部落群	true
building_culture_variants_name_hv_subtown_wuhuan_03	烏桓部落鎮	true
building_culture_variants_name_hv_subtown_wuhuan_control_01	部落控制	true
building_chains_chain_tooltip_hv_subtown_wuhuan	烏桓部落	true
building_chains_encyclopedia_name_hv_subtown_wuhuan	烏桓部落	true
building_chains_override_description_hv_subtown_wuhuan	這些部落不願歸化，但願意提供軍事援助。	true
building_description_texts_long_description_hv_subtown_wuhuan_01	長描述	true
building_description_texts_long_description_hv_subtown_wuhuan_02	長描述	true
building_description_texts_long_description_hv_subtown_wuhuan_03	長描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_01	短描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_02	短描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_03	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan	烏桓部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan	遊牧民族	true
building_culture_variants_name_hv_subtown_xiongnu_00	零散匈奴區	true
building_culture_variants_name_hv_subtown_xiongnu_01	匈奴部落營	true
building_culture_variants_name_hv_subtown_xiongnu_02	匈奴部落群	true
building_culture_variants_name_hv_subtown_xiongnu_03	匈奴部落鎮	true
building_culture_variants_name_hv_subtown_xiongnu_control_01	部落控制	true
building_chains_chain_tooltip_hv_subtown_xiongnu	匈奴部落	true
building_chains_encyclopedia_name_hv_subtown_xiongnu	匈奴部落	true
building_chains_override_description_hv_subtown_xiongnu	這些部落不願歸化，但願意提供軍事援助。	true
building_description_texts_long_description_hv_subtown_xiongnu_01	長描述	true
building_description_texts_long_description_hv_subtown_xiongnu_02	長描述	true
building_description_texts_long_description_hv_subtown_xiongnu_03	長描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_01	短描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_02	短描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_03	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu	匈奴部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu	遊牧民族	true
building_culture_variants_name_hv_subtown_shanyue_00	零散山越區	true
building_culture_variants_name_hv_subtown_shanyue_01	山越部落群	true
building_culture_variants_name_hv_subtown_shanyue_02	山越部落鎮	true
building_culture_variants_name_hv_subtown_shanyue_control_01	異民族控制	true
building_chains_chain_tooltip_hv_subtown_shanyue	山越部落	true
building_chains_encyclopedia_name_hv_subtown_shanyue	山越部落	true
building_chains_override_description_hv_subtown_shanyue	這些部落不願歸化，但願意提供軍事援助。	true
building_description_texts_long_description_hv_subtown_shanyue_01	山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。	true
building_description_texts_long_description_hv_subtown_shanyue_02	江南一直都是山越族人的家園，他們也希望今後維持不變。這便是他們生存意義所在的真理，也是在諸侯割據的時代，他們必須奮戰保護的傳統。\\n\\n山越人比誰都瞭解南方的山區，並在這嶙峋之地建起了堡壘城寨；這裡遠離殘酷的風雨、也遠離敵人的監視，是他們生活成長之地。	true
building_short_description_texts_short_description_hv_subtown_shanyue_01	「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」	true
building_short_description_texts_short_description_hv_subtown_shanyue_02	雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue	山越部落	true
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue	宗布	true
building_culture_variants_name_hv_subtown_sogd_00	零散粟特區	true
building_culture_variants_name_hv_subtown_sogd_01	粟特商人哨站	true
building_culture_variants_name_hv_subtown_sogd_02	粟特商人軍營	true
building_culture_variants_name_hv_subtown_sogd_03	粟特商人營地	true
building_chains_chain_tooltip_hv_subtown_sogd	粟特商人	true
building_chains_encyclopedia_name_hv_subtown_sogd	粟特商人	true
building_chains_override_description_hv_subtown_sogd	粟特商人駐留此區並增進商貿發展。	true
building_description_texts_long_description_hv_subtown_sogd_01	長描述	true
building_description_texts_long_description_hv_subtown_sogd_02	長描述	true
building_description_texts_long_description_hv_subtown_sogd_03	長描述	true
building_short_description_texts_short_description_hv_subtown_sogd_01	短描述	true
building_short_description_texts_short_description_hv_subtown_sogd_02	短描述	true
building_short_description_texts_short_description_hv_subtown_sogd_03	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_sogd	絲路	true
building_ui_groups_onscreen_name_hv_ui_building_group_sogd	西域商人	true
building_culture_variants_name_hv_subtown_wulingman_00	零散武陵蠻區	true
building_culture_variants_name_hv_subtown_wulingman_01	武陵蠻部落群	true
