key	text	tooltip
#Loc;1;text/[04]__MTU_events___daughter.loc		
dilemmas_localised_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1	虎父无犬女	true
dilemmas_localised_description_3k_mtu_global_event_daughter_zhang_trait_dilemma_1	趁父亲外出练武之时，张氏在倦与诗书之时竟拾起其父之酒壶，偷偷饮酒。张飞归来之时发现自己的酒壶居然一滴不剩，马上知道发生了什么，开始寻找自己的女儿。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_zhang_trait_dilemma_1FIRST	大声斥骂	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1FIRST	心爱的酒水被夺走了，铭心张飞大怒，欲让其女对此事刻骨铭心。于是对张氏大声斥骂，骂声震耳欲聋，如同雷鸣。不料张氏却顶撞其父，斥其父成日醉酒，总有一日会坏大事。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_zhang_trait_dilemma_1SECOND	冷静应待	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1SECOND	尽管心爱的酒水被女儿喝得一干二净，张飞忍住了心中的不甘以及怒火，对张氏警告了私自触碰他人物品的品行，以及对她说以后应当邀请他一起饮酒。	true
dilemmas_localised_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1	无心之过	true
dilemmas_localised_description_3k_mtu_global_event_daughter_guan_trait_dilemma_1	关嫣在倦与诗书之时拾起其父亲的青龙偃月刀，想效仿其父过五关斩六将之勇，不料却不小心砍坏了关羽的书橱。关羽闻声赶来，见此狼藉心中顾虑重重。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_guan_trait_dilemma_1FIRST	令关嫣修复书橱	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1FIRST	关羽虽怒，却怒不变容，他令其女儿自行打扫狼藉，让她自己反思。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_guan_trait_dilemma_1SECOND	与关嫣一同修复书橱	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1SECOND	关羽见一片狼藉，唤来其女，与她一同修复书橱，并对其悉心教导。	true
