key	text	tooltip
#Loc;1;text/db/aide_de_camp_strings__.loc		
aide_de_camp_strings_text_adc_dong_zhuo_allyherodead_03	Our ally's general has been killed!	false
aide_de_camp_strings_text_adc_lu_bu_heroiswoundednemesisrival_03	Ah, our comrade has been injured. Pity.	false
aide_de_camp_strings_text_adc_gongsun_zan_losingduelshouldretreatself_02	This is not going as planned! I should fall back!	false
aide_de_camp_strings_text_adc_yuan_shao_heroiswoundednemesisrival_02_f	One of our comrades has been injured.	false
aide_de_camp_strings_text_adc_dong_zhuo_generaldeathadctakeover_02_f	Our generals have fallen! Command has passed to their lieutenant; he will report on the battle!	false
aide_de_camp_strings_text_adc_m_fire_allyownreinforcementsarrive_03_m	Look! Our reinforcements are on the field!	false
aide_de_camp_strings_text_adc_m_water_enemyunitrouted_01_m	The enemy unit flees! What cowards!	false
aide_de_camp_strings_text_adc_f_water_ownarmylostvictorypoint_01_f	The city is lost!	false
aide_de_camp_strings_text_adc_m_earth_winning_01_m	Our victory grows ever closer!	false
aide_de_camp_strings_text_adc_liu_bei_heroiswoundedneutral_02	Our general has been injured!	false
aide_de_camp_strings_text_adc_m_metal_ourunitrouting_02	Our warriors run! Craven dogs!	false
aide_de_camp_strings_text_adc_lu_bu_ourunitrouting_03	Our men are running, the spineless cowards!	false
aide_de_camp_strings_text_adc_zhang_fei_uncoverenemyunit_02_m	Treachery! Hidden enemies!	false
aide_de_camp_strings_text_adc_m_fire_owntowerdestroyed_02	We have lost a tower!	false
aide_de_camp_strings_text_adc_m_earth_enemyherodead_02_m	The enemy general falls! Ha!	false
aide_de_camp_strings_text_adc_cao_cao_ownarmyreclaimingdistrict_02_m	We are taking this district back!	false
aide_de_camp_strings_text_adc_sun_jian_enemytowercaptured_02	Their tower is ours!	false
aide_de_camp_strings_text_adc_dong_zhuo_herounderattackneutral_02_m	Rally! Our general needs our aid!	false
aide_de_camp_strings_text_adc_m_metal_enemyherodead_03_m	The enemy general is fallen; they were no match!	false
aide_de_camp_strings_text_adc_m_metal_ownunitbeserks_02_f	Our men are uncontrollable with rage!	false
aide_de_camp_strings_text_adc_m_metal_ownarmycapturingdistrict_01_m	We are seizing a district!	false
aide_de_camp_strings_text_adc_m_wood_2_allyherowounded_01_m	Our ally has been wounded!	false
aide_de_camp_strings_text_adc_f_water_laddersdockedonyourwalls_01_f	They are scaling the walls!	false
aide_de_camp_strings_text_adc_zhang_fei_owntowercaptured_02_m	We have lost a tower to the enemy!	false
aide_de_camp_strings_text_adc_f_earth_herounderattackneutral_03_f	A comrade is being attacked!	false
aide_de_camp_strings_text_adc_sun_jian_herounderattackneutral_01_f	Our comrade is under attack!	false
aide_de_camp_strings_text_adc_m_metal_duelengagedself_02_m	You will fall!	false
aide_de_camp_strings_text_adc_he_yi_ownunitwipedout_03_m	A unit has perished! None are left!	false
aide_de_camp_strings_text_adc_m_fire_duelengagedself_01_m	I will defeat you!	false
aide_de_camp_strings_text_adc_f_water_enemyherowounded_01_f	Their general is fallen; wounded!	false
aide_de_camp_strings_text_adc_liu_bei_enemyherowounded_03_m	Their general is injured!	false
aide_de_camp_strings_text_adc_cao_cao_heroiswoundednemesisrival_01_f	Our general is wounded! Useless!	false
aide_de_camp_strings_text_adc_m_water_2_herounderattacksworn_03_m	Our brother is under attack! To them!	false
aide_de_camp_strings_text_adc_m_fire_reinforcementsunderyourcontrol_03	Our fresh troops expect orders!	false
aide_de_camp_strings_text_adc_lu_bu_laddersdockedonenemywalls_02_m	Scale the walls!	false
aide_de_camp_strings_text_adc_m_earth_losingduelshouldretreatself_02_m	This is not going as planned! I should fall back!	false
aide_de_camp_strings_text_adc_gongsun_zan_ownarmycapturingvictorypoint_02_f	We are taking their city! Victory awaits!	false
aide_de_camp_strings_text_adc_zhang_fei_ownarmyreclaimingvictorypoint_03	The city will be ours again!	false
aide_de_camp_strings_text_adc_m_earth_allyherowounded_03_m	Your ally is fallen; wounded in battle!	false
aide_de_camp_strings_text_adc_lady_sun_generaldeathadctakeover_01_f	All of our generals have fallen! Our lieutenant will take command now! The fate of the battle rests with him.	false
aide_de_camp_strings_text_adc_guan_yu_enemygatescaptured_01_m	We have taken the gates!	false
aide_de_camp_strings_text_adc_dong_zhuo_ownarmylostdistrict_03	They have captured one of our districts!	false
aide_de_camp_strings_text_adc_f_water_owntowerdestroyed_03_m	Our tower is destroyed! Watch out.	false
aide_de_camp_strings_text_adc_yuan_shao_ownarmylostdistrict_03_m	They have captured one of our districts!	false
aide_de_camp_strings_text_adc_he_yi_ourunitrouting_02	Our warriors run! Craven dogs!	false
aide_de_camp_strings_text_adc_guan_yu_heroiswoundedsworn_02_f_m	No! Our brother has been injured!	false
aide_de_camp_strings_text_adc_f_water_losing_03_m	They are overwhelming us!	false
aide_de_camp_strings_text_adc_f_metal_owntowerdestroyed_01	Our tower has been destroyed!	false
aide_de_camp_strings_text_adc_sun_jian_herounderattackneutral_01_m	Our comrade is under attack!	false
aide_de_camp_strings_text_adc_cao_cao_ownarmylostvictorypoint_02	The city has been taken!	false
aide_de_camp_strings_text_adc_sun_jian_winning_01_m	Our victory grows ever closer!	false
aide_de_camp_strings_text_adc_f_earth_reinforcementsunderyourcontrol_02_f	Reinforcements are awaiting orders!	false
aide_de_camp_strings_text_adc_advisor_uncoverenemyunit_02	Treachery! Hidden enemies!	false
aide_de_camp_strings_text_adc_sun_jian_ownunitoutofammo_03_m	The men have no ammunition! Draw your weapons!	false
aide_de_camp_strings_text_adc_m_fire_enemyunitrouted_03_m	The enemy warriors are running, ha!	false
aide_de_camp_strings_text_adc_cao_cao_owngatesbeingcaptured_03_f	The gates! No! Push them back!	false
aide_de_camp_strings_text_adc_lu_bu_enemygatescaptured_01	We have taken the gates!	false
aide_de_camp_strings_text_adc_he_yi_reinforcementsunderyourcontrol_03_m	Our fresh troops expect orders!	false
aide_de_camp_strings_text_adc_m_earth_ownsiegeequipmentdestroyed_02_m	Our engines are broken!	false
aide_de_camp_strings_text_adc_m_fire_generaldeathadctakeover_01_m	All of our generals have fallen! Our lieutenant will take command now! The fate of the battle rests with him.	false
aide_de_camp_strings_text_adc_yuan_shao_heroisdeadneutral_03	One of our generals is dead! 	false
aide_de_camp_strings_text_adc_m_water_ownsiegeequipmentdestroyed_02_f	Our engines are broken!	false
aide_de_camp_strings_text_adc_advisor_ownarmylostvictorypoint_03	Repel the invaders! They have taken the city!	false
aide_de_camp_strings_text_adc_f_water_tickernearlyrunout_02_m	The city is falling! Hold the line! 	false
aide_de_camp_strings_text_adc_cao_cao_enemywallsbreached_03_f	We have broken their walls! Attack!	false
aide_de_camp_strings_text_adc_sun_jian_allyownreinforcementsarrive_02_f	At last! Our reinforcements are arriving!	false
aide_de_camp_strings_text_adc_f_water_ownarmycapturingvictorypoint_01	We are capturing their city!	false
aide_de_camp_strings_text_adc_m_wood_enemytowerdestroyed_03_f	Their tower crumbles!	false
aide_de_camp_strings_text_adc_he_yi_ownwallsbreached_03	The enemy has broken the walls! Repel them!	false
aide_de_camp_strings_text_adc_sun_jian_ownarmycapturingvictorypoint_03	This city is ours!	false
aide_de_camp_strings_text_adc_m_water_ownarmycapturingvictorypoint_01	We are capturing their city!	false
aide_de_camp_strings_text_adc_liu_bei_ownunitdiscovered_02_m	Our men are spotted!	false
aide_de_camp_strings_text_adc_gongsun_zan_theirgatesdestroyed_02	We have destroyed their gates!	false
aide_de_camp_strings_text_adc_guan_yu_vendettaunderattack_02	Looks like our 'comrade' is under attack!	false
aide_de_camp_strings_text_adc_gongsun_zan_barricadesdestroyed_02_m	We have lost the barricades; fall back!	false
aide_de_camp_strings_text_adc_m_fire_2_ourunitrouting_03	Our men are running, the spinless cowards!	false
aide_de_camp_strings_text_adc_lu_bu_uncoverenemyunit_03_m	Watch out! The enemy lies in wait for us!	false
aide_de_camp_strings_text_adc_gongsun_zan_enemytowercaptured_03_m	We have taken control of their tower!	false
aide_de_camp_strings_text_adc_cao_cao_enemyreinforcementsarrive_02	More! Enemy reinforcements are arriving!	false
aide_de_camp_strings_text_adc_yuan_shao_theirgatesdestroyed_01_f	The gates have fallen! Attack!	false
aide_de_camp_strings_text_adc_lady_sun_herounderattacksworn_02	Our noble comrade has been attacked!	false
aide_de_camp_strings_text_adc_lu_bu_losingduelshouldretreatother_03_f	Our general is outmatched; retreat would be wisest!	false
aide_de_camp_strings_text_adc_m_earth_ownarmycapturingvictorypoint_03	This city is ours!	false
aide_de_camp_strings_text_adc_f_metal_ownarmylostdistrict_02_f	A district has fallen!	false
aide_de_camp_strings_text_adc_m_earth_enemygatescaptured_02_f	The gates are yours!	false
aide_de_camp_strings_text_adc_liu_bei_heroisdeadneutral_01_m	No! One of our generals has fallen! Do not waver!	false
aide_de_camp_strings_text_adc_m_metal_ownunitoutofammo_03	The men have no ammunition! Draw your weapons!	false
aide_de_camp_strings_text_adc_he_yi_ourunitrouting_02_f	Our warriors run! Craven dogs!	false
aide_de_camp_strings_text_adc_dong_zhuo_ourgatesdestroyed_03_f	The gates are destroyed! Hold the breach!	false
aide_de_camp_strings_text_adc_dong_zhuo_heroiswoundedsworn_01_f	Our noble sister is wounded!	false
aide_de_camp_strings_text_adc_m_metal_enemyherodead_03	The enemy general is fallen; they were no match!	false
aide_de_camp_strings_text_adc_cao_cao_tickernearlyrunout_03	We are about to lose the city! Fight!	false
aide_de_camp_strings_text_adc_f_earth_ownunitwipedout_02_f	We have lost a unit! Nobody survived!	false
aide_de_camp_strings_text_adc_m_fire_allyherodead_01_f	Curses! Our ally has been struck down!	false
aide_de_camp_strings_text_adc_m_fire_2_heroiswoundednemesisrival_03_f	Ah, our comrade has been injured. Pity.	false
aide_de_camp_strings_text_adc_liu_bei_ownarmylostvictorypoint_02_f	The city has been taken!	false
aide_de_camp_strings_text_adc_gongsun_zan_ownarmyreclaimingdistrict_01	We are reclaiming a district!	false
aide_de_camp_strings_text_adc_m_fire_heroiswoundedsworn_01_m	Our noble brother is wounded!	false
aide_de_camp_strings_text_adc_f_metal_enemylostdistrict_02	Every district must be taken!	false
aide_de_camp_strings_text_adc_lady_sun_ownunitwipedout_03_f	A unit has perished! None are left!	false
aide_de_camp_strings_text_adc_lu_bu_owngatesbeingcaptured_03	The gates! No! Push them back!	false
aide_de_camp_strings_text_adc_zheng_Jiang_generaldeathadctakeover_01_f	All of our generals have fallen! Our lieutenant will take command now! The fate of the battle rests with him.	false
aide_de_camp_strings_text_adc_dong_zhuo_herounderattacksworn_01_m_m	Our noble brother is being attacked!	false
aide_de_camp_strings_text_adc_dong_zhuo_ownsiegeequipmentdestroyed_01_f	Our siege equipment has been destroyed!	false
aide_de_camp_strings_text_adc_m_water_owngatesbeingcaptured_03	The gates! No! Push them back!	false
aide_de_camp_strings_text_adc_m_wood_2_allyherowounded_02_f	Our ally has suffered an injury!	false
aide_de_camp_strings_text_adc_f_earth_ownunitoutofammo_02_m	The men are out of ammunition!	false
aide_de_camp_strings_text_adc_guan_yu_enemylostvictorypoint_02_f	The enemy's city is fallen! Yes!	false
aide_de_camp_strings_text_adc_f_earth_barricadesdestroyed_02_m	We have lost the barricades; fall back!	false
aide_de_camp_strings_text_adc_cao_cao_ownunitbeserks_01	Our men are gripped by blood lust!	false
aide_de_camp_strings_text_adc_advisor_heroiswoundedneutral_03_f	A general has been incapacitated!	false
aide_de_camp_strings_text_adc_m_metal_ownwallsbreached_03	The enemy has broken the walls! Repel them!	false
aide_de_camp_strings_text_adc_m_wood_laddersdockedonyourwalls_01_m	They are scaling the walls!	false
aide_de_camp_strings_text_adc_m_water_enemycapturingvictorypoint_03	Fight back! Before they take the city!	false
aide_de_camp_strings_text_adc_m_earth_barricadesdestroyed_02_m	We have lost the barricades; fall back!	false
aide_de_camp_strings_text_adc_guan_yu_ownsiegeequipmentdestroyed_03_m	The enemy has destroyed our siege engines!	false
aide_de_camp_strings_text_adc_cao_cao_enemygatescaptured_02	The gates are yours!	false
aide_de_camp_strings_text_adc_liu_bei_allyownreinforcementsarrive_02_f	At last! Our reinforcements are arriving!	false
aide_de_camp_strings_text_adc_cao_cao_ownunitbeserks_03	A blood fury has overtaken the men!	false
aide_de_camp_strings_text_adc_lady_sun_theirgatesdestroyed_03	Press the attack! Their gates are destroyed!	false
aide_de_camp_strings_text_adc_m_metal_heroiswoundedneutral_03_f	A general has been incapacitated!	false
aide_de_camp_strings_text_adc_he_yi_enemyunitrouted_03_m	The enemy warriors are running, ha!	false
aide_de_camp_strings_text_adc_m_wood_2_enemyherodead_02_m	The enemy general falls! Ha!	false
aide_de_camp_strings_text_adc_f_earth_ownsiegeequipmentdestroyed_03	The enemy has destroyed our siege engines!	false
aide_de_camp_strings_text_adc_gongsun_zan_ownarmyreclaimingvictorypoint_03_m	The city will be ours again!	false
aide_de_camp_strings_text_adc_f_water_ownwallsbreached_01_m	Breach! The walls are breached! Enemies coming through!	false
aide_de_camp_strings_text_adc_he_yi_enemytowerdestroyed_03_m	Their tower crumbles!	false
aide_de_camp_strings_text_adc_f_water_enemygatescaptured_01_m	We have taken the gates!	false
aide_de_camp_strings_text_adc_f_water_enemytowercaptured_01_m	We have captured their tower!	false
aide_de_camp_strings_text_adc_f_water_herounderattackneutral_02_f	Rally! Our general needs our aid!	false
aide_de_camp_strings_text_adc_f_metal_ownunitdiscovered_02_f	Our men are spotted!	false
aide_de_camp_strings_text_adc_cao_cao_enemyunitrouted_02	Look, the enemy run! Craven!	false
aide_de_camp_strings_text_adc_m_water_ownunitoutofammo_03	The men have no ammunition! Draw your weapons!	false
aide_de_camp_strings_text_adc_he_yi_enemytowercaptured_03_m	We have taken control of their tower!	false
