key	text	tooltip
#Loc;1;text/db/pooled_resources__.loc		
pooled_resources_description_3k_dlc04_pooled_resource_political_influence	Favours, information, money, respect; all are commodities when it comes to politics. Use these resources sparingly to bend others to your will.	false
pooled_resources_negative_factors_display_name_ep_pooled_resource_heart_alignment	Decrease	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_dlc05_pooled_resource_reckless_luck	Reckless luck represents Sun Ce's brilliance and reckless nature, that risks eventually catching up with him	false
pooled_resources_description_ep_pooled_resource_sima_wei	Fury represents the enthusiasm of this faction and the magnitude of its drive forward to conquest and glory.	false
pooled_resources_foreign_diplomacy_view_tooltip_ep_pooled_resource_brain_alignment	 	false
pooled_resources_display_name_3k_main_pooled_resource_infamy	Infamy	false
pooled_resources_negative_factors_display_name_3k_dlc06_pooled_resource_smouldering_fire	Decrease	false
pooled_resources_positive_factors_display_name_3k_dlc05_pooled_resource_reckless_luck	Increase	false
pooled_resources_negative_factors_display_name_3k_dlc04_pooled_resource_displaced_population	Decline	false
pooled_resources_positive_factors_display_name_3k_dlc06_pooled_resource_flaming_confinement	Increase	false
pooled_resources_negative_factors_display_name_3k_dlc04_pooled_resource_fervour_regional	Decline	false
pooled_resources_positive_factors_display_name_ep_pooled_resource_sima_wei	Increase	false
pooled_resources_negative_factors_display_name_ep_pooled_resource_brain_alignment	Decrease	false
pooled_resources_foreign_diplomacy_view_tooltip_ep_pooled_resource_sima_lun_subterfuge	To achieve one's ends, it is sometimes necessary to engage in acts of subterfuge.	false
pooled_resources_positive_factors_display_name_3k_dlc04_pooled_resource_bureaucrats_influence	Increase	false
pooled_resources_description_3k_dlc06_pooled_resource_flaming_confinement	The longer that Wild Fire remains confined, the greater the strain will be man and god alike.	false
pooled_resources_negative_factors_display_name_3k_dlc06_pooled_resource_mulu_pride	Decrease	false
pooled_resources_positive_factors_display_name_ep_pooled_resource_influence	Increase	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_dlc06_pooled_resource_family_member_faction_leaders	 	false
pooled_resources_display_name_3k_dlc06_pooled_resource_family_member_faction_leaders	Family Member Faction Leaders	false
pooled_resources_negative_factors_display_name_3k_main_pooled_resource_kong_rong	Decrease	false
pooled_resources_display_name_3k_dlc07_pooled_resource_imperial_favour	Imperial Favour	false
pooled_resources_positive_factors_display_name_ep_pooled_resource_sima_liang_demesne	Increase	false
pooled_resources_positive_factors_display_name_3k_main_pooled_resource_credibility	Increase	false
pooled_resources_description_3k_dlc04_pooled_resource_fervour_regional	{{tr:dlc04_term_regional_fervour}} is the amount the population of this area believe in the Yellow Turban cause. Learn to harness it, then wield it as you would a blade.	false
pooled_resources_display_name_3k_dlc05_pooled_resource_reckless_luck	Reckless Luck	false
pooled_resources_description_3k_dlc04_pooled_resource_dynasty_influence	A strong emperor is a strong empire, but the warlords and governors within the Han may not appreciate you centralising power.	false
pooled_resources_negative_factors_display_name_3k_main_pooled_resource_lineage	Decrease	false
pooled_resources_positive_factors_display_name_3k_dlc06_pooled_resource_mulu_rituals	HIDDEN	false
pooled_resources_negative_factors_display_name_3k_dlc06_pooled_resource_mulu_rituals	HIDDEN	false
pooled_resources_display_name_3k_dlc05_pooled_resource_mercenary_activity	Fame & Fortune	false
pooled_resources_negative_factors_display_name_3k_main_pooled_resource_satisfaction	Low satisfaction	false
pooled_resources_foreign_diplomacy_view_tooltip_ep_pooled_resource_reformation	Reformation of ideals is the first step towards true societal progression.	false
pooled_resources_positive_factors_display_name_3k_dlc04_pooled_resource_fortitude	Increase	false
pooled_resources_positive_factors_display_name_ep_pooled_resource_reformation	Increase	false
pooled_resources_negative_factors_display_name_3k_dlc05_pooled_resource_lu_bu_momentum	Lost	false
pooled_resources_description_ep_pooled_resource_reformation	Turbulent times call for radical measures, a reformation of the old ways to lead the people into a brighter future.	false
pooled_resources_negative_factors_display_name_3k_dlc07_pooled_resource_tradeoffs_tracker	HIDDEN	false
pooled_resources_positive_factors_display_name_3k_dlc04_pooled_resource_fervour	Increase	false
pooled_resources_display_name_ep_pooled_resource_money_alignment	Wealth Alignment	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_dlc05_pooled_resource_lu_bu_momentum	For every enemy defeated, the flame of Lü Bu's rage grows and grows until it swallows the world whole.	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_main_pooled_resource_intimidation	Intimidating acts of domination and power instill fear, and begrudging respect.	false
pooled_resources_display_name_3k_dlc06_pooled_resource_flaming_confinement	Flaming Confinement	false
pooled_resources_description_3k_dlc05_pooled_resource_lu_bu_personal_victories	For each character defeated by your faction leader's army, your strength increases – but so does the envy and suspicion of others.	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_dlc07_pooled_resource_ambition	 	false
pooled_resources_description_3k_main_pooled_resource_intimidation	Imperial authority is displayed through acts of domination, power and brutality.	false
pooled_resources_positive_factors_display_name_3k_dlc07_pooled_resource_imperial_favour	Increase	false
pooled_resources_negative_factors_display_name_ep_pooled_resource_reformation	Decrease	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_dlc05_pooled_resource_white_tiger_confederation	It represents the size and quality of Yan Baihu's cross-faction collaboration efforts	false
pooled_resources_negative_factors_display_name_3k_main_pooled_resource_unity	Weakening	false
pooled_resources_description_3k_main_pooled_resource_kong_rong	 	false
pooled_resources_display_name_ep_pooled_resource_sima_liang_demesne	Domain	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_dlc06_pooled_resource_mulu_pride	The pride of this tribe is only matched by their virtue on the battlefield.	false
pooled_resources_positive_factors_display_name_ep_pooled_resource_heart_alignment	Increase	false
pooled_resources_foreign_diplomacy_view_tooltip_3k_dlc04_pooled_resource_fervour_regional	 	false
pooled_resources_description_ep_pooled_resource_influence	Influence represents how much authority and control this faction leader has within his own government and within the administration of his faction.	false
pooled_resources_description_3k_dlc05_pooled_resource_mercenary_activity	Fame and fortune represent recognition of your services on the battlefield as a mercenary. Should you fail in your commitments, your contract will be void.	false
