key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_events.loc		
incidents_localised_title_hv_event_cao_cao_qingzhou	青州军	true
incidents_localised_description_hv_event_cao_cao_qingzhou	黄巾匪徒已被击溃。青州生还者们愿意报德。曹操将之收于旗下，名为青州军。	true
campaign_payload_ui_details_description_hv_event_cao_cao_qingzhou	你现在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}， {{tr:hv_unit_qingzhou_2h_axe_infantry}}， {{tr:hv_unit_qingzhou_raider_cavalry}}	true
campaign_payload_ui_details_description_dummy_hv_cao_cao_qingzhoubing	或许可以招揽他们……	true
missions_localised_description_hv_mission_cao_cao_gains_qingzhoubing	有黄巾军侵入主公领地，须从速讨敌。	true
missions_localised_title_hv_mission_cao_cao_gains_qingzhoubing	黄巾军	true
incidents_localised_title_hv_event_zhuge_liang_yuanrong	元戎弩	true
incidents_localised_description_hv_event_zhuge_liang_yuanrong	诸葛亮精心设计出一种新武器。这是一种能够同时射出多枚箭矢的弩弓，可以压制敌人。 	true
campaign_payload_ui_details_description_hv_event_zhuge_liang_yuanrong	你现在可以招募：{{tr:hv_unit_yuan_rong_crossbowmen}}	true
incidents_localised_title_hv_event_qiang_penalty	社会动荡	true
incidents_localised_title_hv_event_wuhuan_penalty	社会动荡	true
incidents_localised_title_hv_event_xiongnu_penalty	社会动荡	true
incidents_localised_title_hv_event_shanyue_penalty	社会动荡	true
incidents_localised_description_hv_event_qiang_penalty	与汉人的文化冲突导致了羌人部落的失控。百姓不安，质疑你的治理，争相离去。	true
incidents_localised_description_hv_event_wuhuan_penalty	与汉人的文化冲突导致了乌桓部落的失控。百姓不安，质疑你的治理，争相离去。	true
incidents_localised_description_hv_event_xiongnu_penalty	与汉人的文化冲突导致了匈奴部落的失控。百姓不安，质疑你的治理，争相离去。	true
incidents_localised_description_hv_event_shanyue_penalty	与汉人的文化冲突导致了乌桓部落的失控。百姓不安，质疑你的治理，争相离去。	true
effect_bundles_localised_title_hv_script_effect_bundle_qiang_penalty	社会动荡	true
effect_bundles_localised_title_hv_script_effect_bundle_wuhuan_penalty	社会动荡	true
effect_bundles_localised_title_hv_script_effect_bundle_xiongnu_penalty	社会动荡	true
effect_bundles_localised_title_hv_script_effect_bundle_shanyue_penalty	社会动荡	true
effect_bundles_localised_description_hv_script_effect_bundle_qiang_penalty	与汉人的文化冲突导致了羌人部落的失控。百姓不安，质疑你的治理，争相离去。	true
effect_bundles_localised_description_hv_script_effect_bundle_wuhuan_penalty	与汉人的文化冲突导致了乌桓部落的失控。百姓不安，质疑你的治理，争相离去。	true
effect_bundles_localised_description_hv_script_effect_bundle_xiongnu_penalty	与汉人的文化冲突导致了匈奴部落的失控。百姓不安，质疑你的治理，争相离去。	true
effect_bundles_localised_description_hv_script_effect_bundle_shanyue_penalty	与汉人的文化冲突导致了乌桓部落的失控。百姓不安，质疑你的治理，争相离去。	true
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_01FIRST	尝试调查	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_01SECOND	隔岸观火	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_01FIRST	此事真是难以置信，但不妨亲自调查一番。	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_01SECOND	无稽之谈。	false
dilemmas_localised_description_hv_dilemma_white_tiger_01	附近村庄有传闻说每晚会有巨兽出没恐吓农民。村民们在找寻一位英雄进山驱走怪兽。	false
dilemmas_localised_title_hv_dilemma_white_tiger_01	巨兽传闻	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_02FIRST	与巨型白虎对峙	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_02SECOND	原路返回	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_02FIRST	不能空手而归。	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_02SECOND	你同意下人的意见，准备下山。	false
