key	text	tooltip
#Loc;1;text/[04]__MTU_events__Common.loc		
incidents_localised_title_mtu_zhou_yu_spawns_incident	英傑周瑜	true
incidents_localised_description_mtu_zhou_yu_spawns_incident	才智過人，忠誠有加而又儀錶堂堂的咒語，從少年時期就是孫策的密友了。兩人自幼形影不離，而且對互相的家族也十分敬重。周瑜的音樂才華無人能比，說明他既才華橫溢，又有禮有節。	true
incidents_localised_title_mtu_two_qiao_marry_incident_pc	二喬	true
incidents_localised_description_mtu_two_qiao_marry_incident_pc	皖城喬公有兩個女兒，皆國色也。喬公聞孫策與周瑜的大名，特來將兩位女兒許配給兩位將軍。	true
incidents_localised_title_mtu_two_qiao_marry_incident_npc	江東二喬	true
incidents_localised_description_mtu_two_qiao_marry_incident_npc	隨著喬公將兩位女兒許給了孫策與周瑜，二喬的美貌與風雅名揚江東。	true
dilemmas_localised_title_mtu_dilemma_suggestion_of_rebel_sisters	不臣之心	true
dilemmas_localised_description_mtu_dilemma_suggestion_of_rebel_sisters	隨著匪幫的擴張，眾將中難免會有人持不臣之心。其中朱土，朱崩二人野心勃勃，勢力日益壯大，準備推翻你。 \\n\\n 想要收復她們的忠誠，恐怕得花費不少金銀俸祿。	true
cdir_events_dilemma_choice_details_localised_choice_label_mtu_dilemma_suggestion_of_rebel_sistersFIRST	妥協	true
cdir_events_dilemma_choice_details_localised_choice_label_mtu_dilemma_suggestion_of_rebel_sistersSECOND	拒絕和解	true
cdir_events_dilemma_choice_details_localised_choice_title_mtu_dilemma_suggestion_of_rebel_sistersFIRST	得人錢財，與人消災，有錢能使鬼都推磨！	true
cdir_events_dilemma_choice_details_localised_choice_title_mtu_dilemma_suggestion_of_rebel_sistersSECOND	你堅定的拒絕了與她們妥協。	true
incidents_localised_title_mtu_zhu_sisters_robbery_incident	亂臣賊子	true
incidents_localised_description_mtu_zhu_sisters_robbery_incident	野心勃勃的土，崩二人開始了對你的反叛，她們想奪取王位，取你首級！	true
incidents_localised_title_3k_mtu_global_event_zhao_yun_becomes_zhenjun_general	虎威將軍	true
incidents_localised_description_3k_mtu_global_event_zhao_yun_becomes_zhenjun_general	你聽軍士講述常山趙子龍救黃忠、拒漢水之事，你稱子龍“一身是膽”，並號其為虎威將軍，大勞將士，歡宴至晚。	true
campaign_payload_ui_details_description_mtu_zhao_yun_get_new_armour	解鎖虎威將軍的護甲	true
campaign_payload_ui_details_description_mtu_zhao_yun_appointed_zhenjunjiangjun	加封趙雲為虎威將軍	true
campaign_payload_ui_details_description_mtu_zhao_yun_get_blue_blade	趙雲在戰場上奪得了一把泛著青光的短劍，看靶上有金嵌「青釭」二字，方知是寶劍也	true
effect_bundles_localised_title_3k_mtu_effect_bundle_dec_public_order_5_for_cai	昏君	true
effect_bundles_localised_description_3k_mtu_effect_bundle_dec_public_order_5_for_cai	錢財不拿來造福人民，卻用於贖買美色。此舉會使百姓不滿。	true
effect_bundles_localised_title_3k_mtu_effect_bundle_dec_public_order_5	殘忍	true
