key	text	tooltip
#Loc;1;text/db/incidents__.loc		
incidents_localised_description_3k_main_char_heroism_win_battle_wound_char_incident	The battle won, our general chases down the enemy general and challenges them to a duel. Everyone watches, rapt as the two leaders clash, each giving good account of their abilities. After an impressive bout that will be talked about for years, our general stands victorious.	false
incidents_localised_description_3k_dlc04_introduction_sun_jian_incident	Born in Fuchun County, you can trace your ancestry to the great Sun Tzu himself! You made a name for yourself as the scourge of pirates near and far. Considered reckless by some and brave by all, you have a duty to your family, brave southlanders all. Your two sons are the apple of your eye, but one day you hope for a daughter. Yet this land is wracked by war, and so you must fight so that peace may reign.	false
incidents_localised_title_3k_main_commentary_yuan_shu_first_trade_agreement_incident	Market Forces	false
incidents_localised_description_3k_main_char_heroism_lose_battle_wound_char_incident	One of your generals falls behind during the retreat, making them a target for an enemy archer, who looses an arrow at them. \\n\\n However, the general catches the arrow, knocks it back into a bow and returns it, wounding the original sender with the easy flow of a musician plucking a harp.	false
incidents_localised_title_3k_main_char_harmony_both_sincere_incident	Living in Harmony	false
incidents_localised_title_3k_main_char_deeds_charismatic_court_noble_incident	Impactful Arguments	false
incidents_localised_description_3k_main_char_deeds_resourceful_governor_incident	A fire broke out in one of your settlements. Thinking quickly, your resourceful general calls over some villagers and orders them to form a chain from the nearby river to the village, filling kitchen pots and pans with water to put out the fire.	false
incidents_localised_title_3k_dlc07_scheme_region_neutral_presence_children_in_the_hand_incident	{{tr:3k_dlc07_schemes_event_for_target_title}}	false
incidents_localised_description_3k_main_siege_besieging_att_supply_shortage_att_incident	In nature, lies truth. The path to the enemy camp is strewn with decay; our scouts report a dead wolf on the trail. The enemy's supplies must be running short, and their attempts to forage must be failing. Soon, they must give up their fruitless assault!	false
incidents_localised_title_3k_main_char_deeds_brilliant_governor_incident	Brilliant Domestics	false
incidents_localised_title_3k_main_char_harmony_both_greedy_incident	Living in Harmony	false
incidents_localised_title_3k_dlc07_guandu_zhang_he_01_yuan_shao_incident	Zhang He Surrenders	false
incidents_localised_description_3k_dlc07_scheme_region_neutral_presence_children_in_the_hand_incident	{{tr:3k_dlc07_schemes_event_for_target_description}}	false
incidents_localised_title_3k_dlc06_char_deeds_king_meng_huo_and_zhurong_together_incident	The Sanctity of Marriage	false
incidents_localised_description_3k_dlc04_progression_global_yellow_turban_rebellion_starts_incident_emperor_variant	It has begun! Across the lands, the banners of the Yellow Turbans are being raised, hastened by the defection of Tang Zhou.\\n\\nYou have sent out a call to arms to the empire, stretching the limits of your mandated powers as you send brother against brother. Your most loyal subjects hastily march to war, but the more ambitious warlords are disturbingly slow to react... 	false
incidents_localised_description_3k_main_introduction_cao_cao_incident	Lord Cao Cao - you have been cast out; branded an enemy of the empire! It is clear that only you have the capability to end Dong Zhuo's tyranny and bring peace. \\n\\n You can use the surging population and pliable peasantry of your homelands to your advantage, whilst vulnerable foes to the north may make expansion there beneficial. \\n\\n The time has come to increase your prestige and influence, then unite what has been divided!	false
incidents_localised_title_3k_main_commentary_yuan_shao_first_province_incident	Commandery & Conquer	false
incidents_localised_title_3k_ytr_introduction_gong_du_incident	Establish Your Power	false
incidents_localised_description_3k_dlc07_incident_liu_biao_campaign_intro_200	Chaos grows, Liu Biao, and threats abound! Sun Ce and his vassals have raised arms against you. To complicate matters, there are also rebellions to the south; Huang Zu is doing what he can to fight them on your behalf. \\n\\n To the north, Cao Cao fights with Yuan Shao – a temporary reprieve, as whoever emerges victorious will surely turn upon you. Likewise, the Nanman are occupied with one another, but nearby Shi Xie eyes all surrounding lands with greed. \\n\\n You cannot over-extend yourself, Liu Biao. Deal with your immediate threats and consolidate, lest you be overwhelmed!	false
incidents_localised_description_3k_main_historical_sun_qiao_sisters_pc_incident	The Elder Qiao, a gentleman of the Han, has two daughters, famed throughout the lands for their beauty and musical skill. Out of respect for you and your prestige, he offers them to you and your sworn brother in marriage.	false
incidents_localised_description_3k_dlc07_scheme_province_low_public_order_foresight_when_blind_incident	{{tr:3k_dlc07_schemes_event_for_target_description}}	false
incidents_localised_description_3k_dlc06_faction_meng_huo_captured_king_01_incident	No matter how skilled the warrior and the leader, even they falter sometimes. You were captured by the enemy after a battle took a turn for the worst. You have been released this time, but the next time you charge the same foe, this error will not be made...	false
incidents_localised_title_3k_main_char_historical_zhou_yu_spawns_incident	Zhou Yu	false
incidents_localised_title_3k_main_incident_emperor_flees_from_faction	The Emperor Escapes!	false
incidents_localised_title_3k_main_char_deeds_unobservant_governor_incident	Unknown Dangers	false
incidents_localised_title_3k_main_char_deeds_patient_court_noble_incident	The Patient Tactician	false
incidents_localised_description_3k_dlc07_scripted_incident_liu_yan_task_completed_stern_defence_cutting_attack	The work to ensure your heir is prepared for their future role is almost endless, and you labour tirelessly to ensure they live up to the demands your ambition makes of them. Today, you take a step closer towards that goal, as an aspiration task is now complete! Your heir will thank you when the time comes to inherit.	false
