key	text	tooltip
#Loc;1;text/db/character_relationship_opinion_topics__.loc		
character_relationship_opinion_topics_agreement_description_opinion_topic_kindness	"Treat others with the kindness that you yourself would wish to receive."	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_bravery	"Bravery? Such heroic nonsense."	false
character_relationship_opinion_topics_disagreement_title_opinion_topic_nature	Disregards Nature	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_sickness	"Keep the sick well away, I say, lest they bring low the fit and the strong!"	false
character_relationship_opinion_topics_dislike_is_description_opinion_topic_strength	"What good is strength if you haven't the sense to guide it?"	false
character_relationship_opinion_topics_dislike_is_description_opinion_topic_trust	"If one never trusts, one may never be betrayed."	false
character_relationship_opinion_topics_like_is_title_opinion_topic_the_han	Supports the Han Dynasty	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_trust	"If one never trusts, one may never be betrayed."	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_madness	"We must not defer to madness if we are to maintain any semblance of sanity."	false
character_relationship_opinion_topics_disagreement_title_opinion_topic_criminal	Opposes Criminality	false
character_relationship_opinion_topics_dislike_is_title_opinion_topic_discipline	Resents Discipline	false
character_relationship_opinion_topics_disagreement_title_opinion_topic_culture	Opposes Culture	false
character_relationship_opinion_topics_disagreement_title_opinion_topic_kindness	Disregards Kindness	false
character_relationship_opinion_topics_agreement_title_opinion_topic_refinement	Admires Refinement	false
character_relationship_opinion_topics_like_is_description_opinion_topic_loyalty_family	"A man who doesn't cherish his family can never be a real man."	false
character_relationship_opinion_topics_dislike_is_title_opinion_topic_gluttony	Loathes Gluttony	false
character_relationship_opinion_topics_like_is_description_opinion_topic_intimidation	"The ability to instil fear in others has its uses."	false
character_relationship_opinion_topics_agreement_description_opinion_topic_heartbreak	"When one plays the game of life, one must prepare for some heartbreak."	false
character_relationship_opinion_topics_agreement_title_opinion_topic_bravery	Commends Bravery	false
character_relationship_opinion_topics_like_is_title_opinion_topic_trust	Is Trustworthy	false
character_relationship_opinion_topics_agreement_description_opinion_topic_diplomacy	"One should always begin with talk; rather the open palm than the closed fist."	false
character_relationship_opinion_topics_disagreement_title_opinion_topic_titles	Resents Titles	false
character_relationship_opinion_topics_dislike_is_title_opinion_topic_politics_party03	Loathes Dynasty Supporters	false
character_relationship_opinion_topics_agreement_title_opinion_topic_yellow_turbans	Supports the Yellow Turbans	false
character_relationship_opinion_topics_like_is_title_opinion_topic_criminal	Criminal	false
character_relationship_opinion_topics_disagreement_title_opinion_topic_weakness	Unsympathetic to the Weak	false
character_relationship_opinion_topics_like_is_title_opinion_topic_charity	Is Charitable	false
character_relationship_opinion_topics_like_is_description_opinion_topic_politics_party02	"A man who can manage an army is more than capable of managing peasants."	false
character_relationship_opinion_topics_dislike_is_description_opinion_topic_politics_party02	"Such men are primative and savage, what they cannot control they destroy."	false
character_relationship_opinion_topics_dislike_is_title_opinion_topic_the_han	Opposes the Han Dynasty	false
character_relationship_opinion_topics_agreement_description_opinion_topic_competative	"Competition is a breeding ground for excellence and innovation."	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_perception	"Perceptive? I hadn't noticed."	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_greed	"To be greedy for everything is to appreciate nothing."	false
character_relationship_opinion_topics_agreement_description_opinion_topic_trust	"Trust, and you are worthy of being trusted."	false
character_relationship_opinion_topics_dislike_is_title_opinion_topic_debilitation	Unsympathetic to the Debilitated	false
character_relationship_opinion_topics_dislike_is_description_opinion_topic_intelligence	"Intelligence is like a weapon; its wielders are not to be trusted."	false
character_relationship_opinion_topics_dislike_is_description_opinion_topic_madness	"Your mind is dark and filled with terror."	false
character_relationship_opinion_topics_dislike_is_description_opinion_topic_cruelty	"Have you truly no heart?"	false
character_relationship_opinion_topics_dislike_is_title_opinion_topic_impetuousness	Dislikes Impulsiveness	false
character_relationship_opinion_topics_dislike_is_title_opinion_topic_loyalty_duty	Unconcerned by Duty	false
character_relationship_opinion_topics_dislike_is_description_opinion_topic_decisiveness	"Decisiveness? Pah! What if you're mistaken?"	false
character_relationship_opinion_topics_agreement_title_opinion_topic_dictatorship	Admires Power	false
character_relationship_opinion_topics_like_is_description_opinion_topic_teamwork	"Today, we fight together. Tonight, we shall feast together."	false
character_relationship_opinion_topics_agreement_description_opinion_topic_refinement	"Refinement makes the man."	false
character_relationship_opinion_topics_disagreement_title_opinion_topic_charity	Disregards Charity	false
character_relationship_opinion_topics_agreement_title_opinion_topic_arrogance	Indulges Arrogance	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_diplomacy	"Fight first, talk later."	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_ambition	"Ambition infers a willingness to succeed at the expense of everything - and everyone - else!"	false
character_relationship_opinion_topics_disagreement_description_opinion_topic_energy	"A waste of energy, acting left and right without ever stopping to think."	false
