key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_building.loc		
building_ui_groups_onscreen_name_hv_ui_building_group_nanman	南蛮填地序列	false
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han	填地开发序列	true
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius	孔子学院序列	true
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit	匪患序列	true
building_culture_variants_name_hv_subtown_qiang_00	羌人散户	true
building_culture_variants_name_hv_subtown_qiang_01	羌人聚落	true
building_culture_variants_name_hv_subtown_qiang_02	羌人村庄	true
building_chains_chain_tooltip_hv_subtown_qiang	羌人部落序列	true
building_chains_encyclopedia_name_hv_subtown_qiang	羌人部落序列	true
building_chains_override_description_hv_subtown_qiang	这些部落不愿归顺朝廷，但却愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_qiang_01	长描述	true
building_description_texts_long_description_hv_subtown_qiang_02	长描述	true
building_short_description_texts_short_description_hv_subtown_qiang_01	短描述	true
building_short_description_texts_short_description_hv_subtown_qiang_02	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang	羌人部落序列	true
building_ui_groups_onscreen_name_hv_ui_building_group_qiang	游牧民族序列	true
building_culture_variants_name_hv_subtown_wuhuan_00	东胡散户	true
building_culture_variants_name_hv_subtown_wuhuan_01	东胡聚落	true
building_culture_variants_name_hv_subtown_wuhuan_02	东胡村庄	true
building_chains_chain_tooltip_hv_subtown_wuhuan	东胡部落序列	true
building_chains_encyclopedia_name_hv_subtown_wuhuan	东胡部落序列	true
building_chains_override_description_hv_subtown_wuhuan	这些部落不愿归顺朝廷，但却愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_wuhuan_01	长描述	true
building_description_texts_long_description_hv_subtown_wuhuan_02	长描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_01	短描述	true
building_short_description_texts_short_description_hv_subtown_wuhuan_02	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan	东胡部落序列	true
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan	游牧民族序列	true
building_culture_variants_name_hv_subtown_xiongnu_00	匈奴散户	true
building_culture_variants_name_hv_subtown_xiongnu_01	匈奴聚落	true
building_culture_variants_name_hv_subtown_xiongnu_02	匈奴村庄	true
building_chains_chain_tooltip_hv_subtown_xiongnu	匈奴部落序列	true
building_chains_encyclopedia_name_hv_subtown_xiongnu	匈奴部落序列	true
building_chains_override_description_hv_subtown_xiongnu	这些部落不愿归顺朝廷，但却愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_xiongnu_01	长描述	true
building_description_texts_long_description_hv_subtown_xiongnu_02	长描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_01	短描述	true
building_short_description_texts_short_description_hv_subtown_xiongnu_02	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu	匈奴部落序列	true
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu	游牧民族序列	true
building_culture_variants_name_hv_subtown_shanyue_00	山越营地	true
building_culture_variants_name_hv_subtown_shanyue_01	山越聚落	true
building_culture_variants_name_hv_subtown_shanyue_02	山越集镇	true
building_chains_chain_tooltip_hv_subtown_shanyue	山越部落序列	true
building_chains_encyclopedia_name_hv_subtown_shanyue	山越部落序列	true
building_chains_override_description_hv_subtown_shanyue	这些部落不愿归顺朝廷，但却愿意提供军事援助。	true
building_description_texts_long_description_hv_subtown_shanyue_01	山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。	true
building_description_texts_long_description_hv_subtown_shanyue_02	江南一带长久以来一直是山越之民的故乡，他们对这片土地怀有深厚的感情。如今野心勃勃的诸侯们要蚕食他们祖辈所居之地，他们必须拿起武器，以奋战保卫故土。\\n\\n山越之民比汉人更熟悉江南的丘陵地形，他们将自己的堡垒建立在群山中最险要的地方。他们可以在远离天灾人祸的地方安居乐业。	true
building_short_description_texts_short_description_hv_subtown_shanyue_01	「此为我祖辈所居之地，尔等无权强取豪夺！」	true
building_short_description_texts_short_description_hv_subtown_shanyue_02	为了过上太平的日子，越民不得不在其住处筑起高墙。	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue	山越部落序列	true
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue	宗布	true
building_culture_variants_name_hv_subtown_garrison_sun_jian_01	士族庭院	true
building_culture_variants_name_hv_subtown_garrison_sun_jian_02	士族田庄	true
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian	[[col:flavour]]士族庄园序列[[/col]]	true
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian	士族庄园序列	true
building_chains_override_description_hv_subtown_garrison_sun_jian	名门大家所拥有的庄园。	true
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01	长描述	true
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02	长描述	true
building_description_texts_short_description_hv_subtown_garrison_sun_jian_01	短描述	true
building_description_texts_short_description_hv_subtown_garrison_sun_jian_02	短描述	true
building_culture_variants_name_hv_subtown_garrison_01	重门军哨站	true
building_culture_variants_name_hv_subtown_garrison_02	重门军营地	true
building_chains_chain_tooltip_hv_subtown_garrison	地方巡卫军序列	true
building_chains_encyclopedia_name_hv_subtown_garrison	地方巡卫军序列	true
building_chains_override_description_hv_subtown_garrison	巡守卫队在此地域巡逻，骚扰敌军。	true
building_description_texts_long_description_hv_subtown_garrison_01	长描述	true
building_description_texts_long_description_hv_subtown_garrison_02	长描述	true
building_description_texts_short_description_hv_subtown_garrison_01	短描述	true
building_description_texts_short_description_hv_subtown_garrison_02	短描述	true
building_description_texts_long_description_hv_subtown_garrison_ytr_01	长描述	true
building_description_texts_long_description_hv_subtown_garrison_ytr_02	长描述	true
building_description_texts_short_description_hv_subtown_garrison_ytr_01	短描述	true
building_description_texts_short_description_hv_subtown_garrison_ytr_02	短描述	true
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_subtown	附加建筑	true
building_culture_variants_name_hv_subtown_danyang_01	丹阳军兵营	true
building_culture_variants_name_hv_subtown_danyang_02	丹阳军营寨	true
building_chains_chain_tooltip_hv_subtown_danyang	丹阳军序列	true
building_chains_encyclopedia_name_hv_subtown_danyang	丹阳军序列	true
building_chains_override_description_hv_subtown_danyang	丹阳人以奋勇著称。陶谦整备军队，训练有素。	true
building_description_texts_long_description_hv_subtown_danyang_01	长描述	true
building_description_texts_long_description_hv_subtown_danyang_02	长描述	true
building_description_texts_short_description_hv_subtown_danyang_01	短描述	true
building_description_texts_short_description_hv_subtown_danyang_02	短描述	true
building_culture_variants_name_hv_subtown_confucius_01	孔子学院	true
building_chains_chain_tooltip_hv_subtown_confucius	孔子学院序列	true
building_chains_encyclopedia_name_hv_subtown_confucius	孔子学院序列	true
building_chains_override_description_hv_subtown_confucius	贤师高徒汇聚之所。	true
building_description_texts_long_description_hv_subtown_confucius_01	长描述	true
building_description_texts_short_description_hv_subtown_confucius_01	短描述	true
building_culture_variants_name_hv_subtown_small_farm_01	储备站	true
building_culture_variants_name_hv_subtown_small_farm_02	仓廪	true
building_culture_variants_name_hv_subtown_small_farm_03	大型仓库	true
building_chains_chain_tooltip_hv_subtown_han_small_farm	补给管理序列	true
building_chains_encyclopedia_name_hv_subtown_han_small_farm	补给管理序列	true
building_chains_override_description_hv_subtown_han_small_farm	完善管理本地货物，回收废弃物品	true
building_description_texts_long_description_hv_subtown_han_small_farm_01	长描述	true
building_description_texts_long_description_hv_subtown_han_small_farm_02	长描述	true
building_description_texts_long_description_hv_subtown_han_small_farm_03	长描述	true
building_description_texts_short_description_hv_subtown_han_small_farm_01	短描述	true
building_description_texts_short_description_hv_subtown_han_small_farm_02	短描述	true
building_description_texts_short_description_hv_subtown_han_small_farm_03	短描述	true
building_culture_variants_name_hv_subtown_nanman_shikar_01	狩猎区	true
building_chains_chain_tooltip_hv_subtown_nanman	狩猎区序列	true
building_chains_encyclopedia_name_hv_subtown_nanman	狩猎区序列	true
building_chains_override_description_hv_subtown_nanman	部落猎人可为我方提供额外的食物。	true
building_description_texts_long_description_hv_subtown_nanman_shikar_01	长描述	true
building_description_texts_short_description_hv_subtown_nanman_shikar_01	短描述	true
building_culture_variants_name_hv_subtown_nanman_outpost_01	南蛮市肆	true
building_chains_chain_tooltip_hv_subtown_nanman_outpost	南境市肆序列	true
building_chains_encyclopedia_name_hv_subtown_nanman_outpost	南境市肆序列	true
building_chains_override_description_hv_subtown_nanman_outpost	与南境蛮人交易的场所。	true
building_description_texts_long_description_hv_subtown_nanman_outpost_01	长描述	true
building_description_texts_short_description_hv_subtown_nanman_outpost_01	短描述	true
building_culture_variants_name_hv_subtown_yellow_turban_synad_01	太平小庙	false
building_culture_variants_name_hv_subtown_yellow_turban_synad_02	太平朝堂	false
building_culture_variants_name_hv_subtown_yellow_turban_synad_03	太平圣殿	false
building_chains_chain_tooltip_hv_subtown_ytr	太平道序列	false
building_chains_encyclopedia_name_hv_subtown_ytr	太平道序列	false
building_chains_override_description_hv_subtown_ytr	要开始一段新的征途，人们需要先熟悉路径。	false
building_description_texts_long_description_hv_subtown_yellow_turban_synad_01	长描述	false
building_description_texts_long_description_hv_subtown_yellow_turban_synad_02	长描述	false
building_description_texts_long_description_hv_subtown_yellow_turban_synad_03	长描述	false
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_01	短描述	false
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_02	短描述	false
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_03	短描述	false
