key	text	tooltip
#Loc;1;text/db/hero_battle_conversation_strings__.loc		
hero_battle_conversation_strings_string_hbc_lady_sun_ins_to_lu_bu_04	You are marked for death, turncoat!	false
hero_battle_conversation_strings_string_hbc_sun_jian_res_ins_gen_01	Your words are as pathetic as you are!	false
hero_battle_conversation_strings_string_hbc_m_wood_2_ins_gen_35	You are no warrior at all!	false
hero_battle_conversation_strings_string_hbc_gongsun_zan_ins_gen_62	Your lack of skill is showing!	false
hero_battle_conversation_strings_string_hbc_yuan_shao_ins_lost_03	I shall reclaim my honour!	false
hero_battle_conversation_strings_string_hbc_dong_zhuo_ai_land_defensive_01	Watch this one. They say they are patient; they will wait.	false
hero_battle_conversation_strings_string_hbc_yuan_shao_ins_to_he_yi_02	You need to learn your place!	false
hero_battle_conversation_strings_string_hbc_cao_cao_res_rib_gen_01	Your silence would be appreciated.	false
hero_battle_conversation_strings_string_hbc_m_water_2_ins_gen_64	You must know you are done for? You must!	false
hero_battle_conversation_strings_string_hbc_yuan_shao_ins_to_lu_bu_03	Run back to your master, dog!	false
hero_battle_conversation_strings_string_hbc_guan_yu_duel_int_04	You, are a coward!	false
hero_battle_conversation_strings_string_hbc_meng_huo_rib_to_lady_sun_02	Come on! I cannot fight the enemy alone!	false
hero_battle_conversation_strings_string_hbc_f_water_ai_siege_aggressive_01_m	It is said that this general cares more about battle than duty!	false
hero_battle_conversation_strings_string_hbc_lu_bu_res_duel_run_03	That I may fight another day!	false
hero_battle_conversation_strings_string_hbc_liu_zhang_res_ins_gen_52	Don't you have a battle to lose!?	false
hero_battle_conversation_strings_string_hbc_ins_lost_10	I will not taste defeat again!	false
hero_battle_conversation_strings_string_hbc_lu_bu_ai_land_stupid_01	They speak of this general's unpredictable nature. How will they act…?	false
hero_battle_conversation_strings_string_hbc_m_earth_ins_to_zheng_jiang_02	Your insurgency dies here!	false
hero_battle_conversation_strings_string_hbc_meng_huo_rib_to_zhang_fei_04	I cannot tell if you like killing or drinking more!	false
hero_battle_conversation_strings_string_hbc_king_mulu_ins_to_he_yi_04	I will cut you to pieces for your treachery!	false
hero_battle_conversation_strings_string_hbc_zheng_jiang_rival_dying_05	I honestly expected more.	false
hero_battle_conversation_strings_string_hbc_meng_huo_res_ins_gen_06	You belittle yourself with your words!	false
hero_battle_conversation_strings_string_hbc_lu_bu_frnd_dying_03	Your death shall not be in vain!	false
hero_battle_conversation_strings_string_hbc_sima_yong_ins_to_sima_wei_01	Your rage cannot stop my plans, Sima Wei!	false
hero_battle_conversation_strings_string_hbc_m_fire_2_rib_to_cao_cao_03	What deeds will you write of today?	false
hero_battle_conversation_strings_string_hbc_m_earth_ic_vs_sima_yi_01	I hear he can turn his head right round, just like an owl!	false
hero_battle_conversation_strings_string_hbc_sun_quan_duel_run_03	Your cowardice will be your legacy!	false
hero_battle_conversation_strings_string_hbc_ai_land_talented_01_m	They call this general clever, but simplicity is the key to victory!	false
hero_battle_conversation_strings_string_hbc_m_water_2_res_rib_gen_05	Focus your efforts on the enemy, perhaps?	false
hero_battle_conversation_strings_string_hbc_m_water_2_ins_to_guan_yu_04	After you, your brothers are next!	false
hero_battle_conversation_strings_string_hbc_m_wood_ins_lost_06	This time I will have victory!	false
hero_battle_conversation_strings_string_hbc_lu_bu_rel_up_02	Yes yes! Good!	false
hero_battle_conversation_strings_string_hbc_dong_zhuo_ai_siege_loyal_04	This general will defend this land to the last. So be it.	false
hero_battle_conversation_strings_string_hbc_m_fire_2_musical_talent_01	They say Zhuo Yu can play any instrument he is given!	false
hero_battle_conversation_strings_string_hbc_gongsun_zan_res_ins_gen_59	On my life, I will silence you!	false
hero_battle_conversation_strings_string_hbc_f_earth_frnd_dying_01	Our noble comrade is fallen!	false
hero_battle_conversation_strings_string_hbc_f_earth_ins_gen_52	Steel yourself for the inevitable!	false
hero_battle_conversation_strings_string_hbc_guan_yu_res_duel_run_02	Perhaps, but not today!	false
hero_battle_conversation_strings_string_hbc_cao_cao_ins_to_liu_bei_02	Kindness has no place here!	false
hero_battle_conversation_strings_string_hbc_m_fire_2_ins_gen_38	No matter the cost, I will see you defeated!	false
hero_battle_conversation_strings_string_hbc_sun_quan_rib_gen_01	Do you need a refresher in combat skills?	false
hero_battle_conversation_strings_string_hbc_f_metal_ai_siege_defensive_01	They will find the most defensible points. Overcome them!	false
hero_battle_conversation_strings_string_hbc_liu_bei_ai_land_defensive_04_m	They say this general prefers patience. Well they may not have a choice!	false
hero_battle_conversation_strings_string_hbc_cao_cao_ins_to_yellow_turban_03	You cannot seriously think you have a chance!	false
hero_battle_conversation_strings_string_hbc_m_earth_2_ins_to_cao_cao_01	Is there a heart beating in that spineless body!?	false
