key	text	tooltip
#Loc;1;text/[04]__MTU_events___daughter.loc		
dilemmas_localised_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1	虎父無犬女	true
dilemmas_localised_description_3k_mtu_global_event_daughter_zhang_trait_dilemma_1	趁父親外出練武之時，張氏在倦與詩書之時竟拾起其父之酒壺，偷偷飲酒。張飛歸來之時發現自己的酒壺居然一滴不剩，馬上知道發生了什麼，開始尋找自己的女兒。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_zhang_trait_dilemma_1FIRST	大聲斥駡	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1FIRST	心愛的酒水被奪走了，銘心張飛大怒，欲讓其女對此事刻骨銘心。於是對張氏大聲斥駡，罵聲震耳欲聾，如同雷鳴。不料張氏卻頂撞其父，斥其父成日醉酒，總有一日會壞大事。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_zhang_trait_dilemma_1SECOND	冷靜應待	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_zhang_trait_dilemma_1SECOND	儘管心愛的酒水被女兒喝得一乾二淨，張飛忍住了心中的不甘以及怒火，對張氏警告了私自觸碰他人物品的品行，以及對她說以後應當邀請他一起飲酒。	true
dilemmas_localised_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1	無心之過	true
dilemmas_localised_description_3k_mtu_global_event_daughter_guan_trait_dilemma_1	關嫣在倦與詩書之時拾起其父親的青龍偃月刀，想效仿其父過五關斬六將之勇，不料卻不小心砍壞了關羽的書櫥。關羽聞聲趕來，見此狼藉心中顧慮重重。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_guan_trait_dilemma_1FIRST	令關嫣修復書櫥	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1FIRST	關羽雖怒，卻不怒不變容，他令其女兒自行打掃狼藉，讓她自己反思。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_daughter_guan_trait_dilemma_1SECOND	與關嫣一同修復書櫥	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1SECOND	關羽見一片狼藉，喚來其女，與她一同修復書櫥，並對其悉心教導。	true
