key	text	tooltip
#Loc;1;text/db/event_feed_strings__.loc		
event_feed_strings_text_3k_main_primary_detail_character_1_faction_character_2	#(character1) & #(character2), #(character2.faction),	false
event_feed_strings_text_3k_main_captive_hired_by_enemy	One of our generals has forsaken honour and duty for their own selfish needs and entered the service of one of our enemies!	false
event_feed_strings_text_3k_main_flavour_settlement_action_completed_raze_attacker	The following settlements have been razed, tearing out their poison at the roots. 	false
event_feed_strings_text_3k_main_flavour_progression_level_increase_zhang_yan_second_marquis	Although you have watched and waited, the time to act has come, and you have ably leapt into the fray. Despite disdain for the ways of court, as second marquis you will be better placed to take decisive action!	false
event_feed_strings_text_3k_main_secondary_detail_capital	#(capital)	false
event_feed_strings_text_3k_main_flavour_child_born_legitimate_male	Joyous occasion - a son has been born! New blood keeps the line strong, but may also give rise to jealousy if other siblings feel their own position is threatened.	false
event_feed_strings_text_3k_main_flavour_diplomacy_treaty_broken_military_alliance_proposer	The following military alliances no longer benefit us, so we have called an end to them.	false
event_feed_strings_text_3k_main_secondary_detail_character_faction_spy_target	[[b]]Spying against:[[/b]] #(character.faction)\\n[[b]]Target:[[/b]] #(target)	false
event_feed_strings_text_3k_main_secondary_detail_settlement_attacked_by	[[b]]Settlement:[[/b]] #(settlement.region_and_province)\\n[[b]]Besieging force:[[/b]] #(attacked_by.general)\\n[[b]]Faction:[[/b]] #(attacked_by.faction)	false
event_feed_strings_text_3k_main_flavour_spies_action_request_general_position_failure_target	We have captured an enemy spy. \\n\\n They were petitioning for a new position, but something was suspect about their insitence that they were the right person for the role. \\n\\n On interrogation we discovered that they were a spy, but they have witheld the faction they were spying for.	false
event_feed_strings_text_3k_main_secondary_detail_settlement_province	[[b]]Commandery:[[/b]] #(settlement.province)	false
event_feed_strings_text_3k_main_primary_detail_bankruptcy	[[b]]Expenditure:[[/b]] [[img:ui/skins/default/icon_coin_small.png]][[/img]] [[col:red]]#(expenditure)[[/col]]	false
event_feed_strings_text_3k_main_flavour_world_power_token_max_faction_declares_emperor_us	With your declaration that you are the rightful heir to the Han Dynasty there are now three kingdoms vying to bring an end to the chaos.	false
event_feed_strings_text_3k_main_flavour_trait_gained	Time and circumstance have marked the following generals with unique qualities.	false
event_feed_strings_text_3k_main_flavour_diplomacy_treaty_broken_soft_military_access_receiver	The following military access treaties have been revoked; we will need to find new routes to reach our enemies. 	false
event_feed_strings_text_3k_flavour_conquest_siege_lifted_ours	We have lifted our sieges of these settlements as it was not in our favour to continue. For now the enemy can hang on to power, but only because we allow it.	false
event_feed_strings_text_3k_ytr_flavour_progression_level_increase_he_yi_empowered	The truly strong know the value of silence, and mystery: he who knows does not speak, and he who speaks does not know. \\n\\n To be silent and be guided by the senses, this is strength - this is brilliance. Foster this mystery!	false
event_feed_strings_text_3k_main_flavour_faction_loses_emperor_ours	Having lost your last emperor seat, you have lost the Will of Heaven and are no longer fit to call yourself emperor.	false
event_feed_strings_text_3k_main_secondary_detail_technology_description	#(technology.description)\\n	false
event_feed_strings_text_3k_main_secondary_detail_dilemma_description	#(dilemma.description)	false
event_feed_strings_text_3k_main_flavour_trade_route_reestablished	Trade with this faction has been restored.	false
event_feed_strings_text_3k_main_primary_detail_character_trait	#(character), #(trait)	false
event_feed_strings_text_3k_main_flavour_character_banished	The following generals have been dismissed from our faction and are no longer welcome within our territories: 	false
event_feed_strings_text_3k_main_secondary_detail_character_dies_battle_theirs	[[b]]Allegiance:[[/b]] #(character.faction)\\n[[b]]Opponent:[[/b]] #(opponent.primary_general)	false
event_feed_strings_text_3k_main_flavour_spies_action_open_gates_failure_owner	One of our spies has been captured, identified as the person responsible for weakening enemy defences and leading to our capture of their gates. 	false
event_feed_strings_text_3k_main_flavour_spies_action_empower_trade_failure_owner	One of our spies has been captured with documents pertaining to trade, crop yields and economy. Though they were using these to improve this faction's trading power, it looks suspicious and they have been detained.	false
event_feed_strings_text_3k_main_flavour_progression_level_increase_kong_rong_duke	As your position rises, you may use your newfound power as duke to educate! Only through knowledge will China know unity and peace. \\n\\n Of course, those who insist on remaining in ignorance must be… dealt with.	false
event_feed_strings_text_3k_main_flavour_rivalry_gained	Fate has pitched these two people in opposition; rather than yield to one another or go their separate ways, they have enthusiastically embraced the rivalry as a competition to be won. 	false
event_feed_strings_text_3k_main_flavour_spies_action_surrender_province_failure_owner	One of our spies has been captured. Though they were vital in this faction's decision to surrender their commandery to us, their connection to us was discovered, leading to their arrest.	false
event_feed_strings_text_3k_main_secondary_detail_character_rank_location	[[b]]Rank:[[/b]] #(character.rank)\\n[[b]]Location:[[/b]] #(character.region_and_province)	false
event_feed_strings_text_3k_main_flavour_spies_action_surrender_province_failure_target	After surrendering our commandery, we have learned that certain facts that influenced our decision had been tampered with by an enemy spy. This spy has now been captured, but the damage is already done.	false
event_feed_strings_text_3k_main_secondary_detail_receiving_faction	[[b]]To:[[/b]] #(receiving_faction)	false
event_feed_strings_text_3k_main_flavour_spies_action_request_administrator_position_success_owner	Our spy's efforts to impress have not gone unnoticed; their false master has openly favoured their administrative candidacy should the opportunity arise in the near future.	false
event_feed_strings_text_3k_main_flavour_army_disbanded	The following armies no longer justify the cost of their upkeep and have been disbanded. 	false
event_feed_strings_text_3k_main_flavour_diplomacy_treaty_broken_non_aggression_pact_proposer	We can no longer abide by the following non-aggression acts and their implications, and must call an end to them.	false
event_feed_strings_text_3k_main_secondary_detail_character_faction_spy_target_faction	[[b]]Spying against:[[/b]] #(character.faction)\\n[[b]]Target:[[/b]] #(target_faction)	false
event_feed_strings_text_3k_main_flavour_progression_level_increase_liu_bei_king	The people have flocked to your banner, and through their power you have claimed the title of king. There are very few who can oppose your might now; you have the undying support of the people!	false
event_feed_strings_text_3k_main_primary_detail_settlement_region_and_province	#(settlement.region_and_province)	false
event_feed_strings_text_3k_main_secondary_detail_proposer_recipient_faction	[[b]]Proposer:[[/b]] #(proposer)\\n[[b]]Proposer faction:[[/b]] #(proposer.faction)\\n[[b]]Recipient:[[/b]] #(recipient)\\n[[b]]Recipient faction:[[/b]] #(recipient.faction)	false
event_feed_strings_text_3k_main_flavour_friends_rivals_friend_lost	Time can strain bonds as surely as it can reinforce them, and the friendship these two people once shared is now no more than a memory.	false
event_feed_strings_text_3k_main_flavour_spies_spy_returns	Our spy is preparing to return from their mission, having become a known quantity to their target. Unfortunately, even this small level of fame means they are no longer effective as a spy and so must return to normal duties. \\n\\n Unless circumstances change, they will soon be ready to receive new orders.	false
event_feed_strings_text_3k_main_flavour_trespassing_region_owner_faction	These armies are trespassing on our lands here; if this is not the prelude to an attack, they are at the best results of irresponsible neglect. 	false
event_feed_strings_text_3k_main_flavour_spies_action_bolster_garrison_failure_owner_alt	One of our own spies has been captured after successfully arranging to poison this faction's garrison. Deemed a heinous act of sabotage, it will not go unpunished.	false
event_feed_strings_text_3k_main_flavour_spies_action_trigger_yellow_turban_rebellion_failure_owner	Our spy has failed to rouse a {{tr:agent_action_rebellion_instigator}} rebellion. 	false
event_feed_strings_text_3k_main_flavour_spies_action_maintain_loyalty_success_owner	Our spy has been reminded of their loyalties to our cause.\\n\\nTheir likelihood of being swayed by the enemy has been diminished, if only temporarily.	false
event_feed_strings_text_3k_main_secondary_detail_assignment	#(assignment)\\n	false
event_feed_strings_text_3k_main_flavour_spies_action_setup_ambush_failure_owner_alt	One of our spies has been discovered and captured. However, they succeeded in their mission to expose an army to ambush, and we commend their sacrifice. 	false
event_feed_strings_text_3k_main_flavour_diplomacy_treaty_negotiated_defensive_alliance_receiver	We are joined in a defensive pact with the following factions, and will support each other against aggressors.	false
event_feed_strings_text_3k_main_flavour_settlement_action_completed_raze_owner	The following settlements of ours have been razed by our ruthless enemies, leaving nothing but ashes behind.	false
event_feed_strings_text_3k_main_flavour_spies_action_assassinate_faction_leader_failure_owner_alt	One of our spies has been captured after assassinating this faction's leader. \\n\\n After a life blessed with good luck, fate restored balance by assailing them with a chain of increasingly bizarre misfortunes during their escape, leaving them battered, confused and at the mercy of the guards.	false
event_feed_strings_text_3k_main_flavour_post_battle_hostage_executed_own	This person has been executed. Evidence has been found of misconduct, and their loyalty towards our faction has been found wanting. \\n\\n Let this act as a warning to all traitors.	false
event_feed_strings_text_3k_main_flavour_progression_level_increase_kong_rong_second_marquis	You are beginning to rise above the noise and chaos of infighting, establishing yourself as second marquis. You accrue power, that you might put it to use benefiting China. 	false
event_feed_strings_text_3k_main_flavour_friends_rivals_nemesis_gained	Fate has pitched these two people in extreme opposition; once rivals, their increasing mutual hatred has made them sworn nemeses.	false
event_feed_strings_text_3k_main_primary_detail_technology	#(technology)	false
event_feed_strings_text_3k_main_flavour_bankruptcy	Mismanagement and misfortune have left our treasury empty, making our faction vulnerable and in danger of collapse.	false
event_feed_strings_text_3k_main_flavour_spies_action_setup_ambush_failure_owner	One of our spies has been discovered and captured. However, they succeeded in their mission to set up an ambush, and we commend their sacrifice. 	false
event_feed_strings_text_3k_main_primary_detail_force	#(force)	false
event_feed_strings_text_3k_main_secondary_detail_new_leader	[[b]]Succeeding:[[/b]] #(former_leader)	false
event_feed_strings_text_3k_main_primary_detail_spy_action	#(action_info)	false
