key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_BULLET.loc		
ui_unit_bullet_point_enums_onscreen_name_strength_lime	使用毒氣	true
ui_unit_bullet_point_enums_tooltip_strength_lime	擴散致命劇毒。	true
ui_unit_bullet_point_enums_onscreen_name_strength_bomb	使用火器	true
ui_unit_bullet_point_enums_tooltip_strength_bomb	以如震天雷響與其火焰爆破震攝敵軍。	true
ui_unit_bullet_point_enums_onscreen_name_weakness_low_range	短射程	true
ui_unit_bullet_point_enums_tooltip_weakness_low_range	無法射太遠。	true
ui_unit_bullet_point_enums_onscreen_name_strength_taunt	嘲諷	true
ui_unit_bullet_point_enums_tooltip_strength_taunt	他們可對敵人進行挑釁。	true
ui_unit_bullet_point_enums_onscreen_name_weakness_rampage	狂暴	true
ui_unit_bullet_point_enums_tooltip_weakness_rampage	有什麼使他們喪失理智。	true
ui_unit_bullet_point_enums_onscreen_name_strength_shield_break	盾牌破壞	true
ui_unit_bullet_point_enums_tooltip_strength_shield_break	擅於對抗盾牌	true
ui_unit_bullet_point_enums_onscreen_name_strength_partisan	可移動時進行射擊	true
ui_unit_bullet_point_enums_tooltip_strength_partisan	他們可以在奔跑時進行射擊。	true
ui_unit_bullet_point_enums_onscreen_name_strength_armour_break	鎧甲破壞	true
ui_unit_bullet_point_enums_tooltip_strength_armour_break	擅於對抗鎧甲	true
ui_unit_bullet_point_enums_onscreen_name_strength_heavy_bow	重弓	true
ui_unit_bullet_point_enums_tooltip_strength_heavy_bow	此弓威力非凡。射程雖短，但具穿甲威力。	true
ui_unit_bullet_point_enums_onscreen_name_strength_whistling_arrow	響箭	true
ui_unit_bullet_point_enums_tooltip_strength_whistling_arrow	擊射響箭，驚嚇所經路徑上的敵軍。	true
ui_unit_bullet_point_enums_onscreen_name_strength_kamikaze	自殺爆彈	true
ui_unit_bullet_point_enums_tooltip_strength_kamikaze	當在近戰失利時，此單位將引爆自身。	true
ui_unit_bullet_point_enums_onscreen_name_strength_rosin_arrow	松香油箭	true
ui_unit_bullet_point_enums_tooltip_strength_rosin_arrow	擊射特殊松香油箭，使目標更易焚燒。	true
